x,y,r (pixel),is_circle,r (um)
604,370,107,yes,107
554,170,99,yes,99
244,504,133,yes,133
810,404,104,yes,104
626,558,86,yes,86
738,226,92,yes,92
402,330,96,yes,96
472,498,83,yes,83
790,584,82,yes,82
406,178,57,yes,57
252,214,94,yes,94
398,204,102,yes,102
100,322,95,yes,95
270,500,136,no,136
514,144,142,no,142
424,330,120,no,120
12,500,99,yes,99
620,384,128,no,128
558,150,120,no,120
486,678,94,yes,94
570,182,79,no,79
260,520,104,no,104
272,214,112,no,112
722,210,113,no,113
536,156,121,no,121
708,12,127,yes,127
582,358,125,no,125
374,204,93,no,93
136,42,108,yes,108
250,480,110,no,110
494,490,86,no,86
122,640,69,yes,69
758,216,112,no,112
652,552,111,no,111
424,196,82,no,82
384,184,75,no,75
378,324,120,no,120
152,56,88,yes,88
746,198,118,no,118
268,236,108,no,108
756,236,72,no,72
84,180,80,no,80
366,32,101,no,101
428,176,77,no,77
812,384,84,no,84
168,68,67,no,67
640,574,64,no,64
468,72,43,yes,43
100,638,59,no,59
