x,y,r (pixel),is_circle,r (um)
746,434,61,yes,61
710,68,68,yes,68
690,166,43,yes,43
778,312,57,yes,57
130,190,36,yes,36
636,246,54,yes,54
160,374,48,yes,48
92,250,40,yes,40
260,172,55,yes,55
432,244,48,yes,48
578,314,41,yes,41
172,268,45,yes,45
122,30,37,yes,37
240,88,32,yes,32
254,256,37,yes,37
342,550,43,yes,43
538,458,39,yes,39
670,344,58,yes,58
526,236,52,yes,52
94,114,52,yes,52
264,542,34,yes,34
86,374,30,yes,30
368,156,51,yes,51
332,246,43,yes,43
488,338,52,yes,52
480,156,53,yes,53
610,6,44,yes,44
416,72,40,yes,40
60,618,37,yes,37
604,94,44,yes,44
432,384,33,yes,33
490,538,50,yes,50
536,88,34,yes,34
432,456,42,yes,42
220,424,32,yes,32
610,502,46,yes,46
310,100,29,yes,29
412,514,28,yes,28
582,394,36,yes,36
400,328,39,yes,39
112,558,42,yes,42
172,88,30,yes,30
336,626,35,yes,35
622,166,29,yes,29
370,4,28,yes,28
598,484,57,no,57
236,332,40,yes,40
366,474,32,yes,32
290,470,44,yes,44
192,198,28,yes,28
596,596,50,yes,50
180,142,33,yes,33
488,412,30,yes,30
110,312,37,yes,37
270,388,31,yes,31
686,488,29,yes,29
22,202,48,yes,48
26,394,32,yes,32
