x,y,r (pixel),is_circle,r (um)
634,194,192,no,149.76
648,216,216,yes,168.48000000000002
548,330,353,no,275.34000000000003
684,234,256,no,199.68
356,448,138,yes,107.64
624,226,224,no,174.72
382,454,156,no,121.68
570,330,353,no,275.34000000000003
330,458,165,no,128.70000000000002
622,676,173,yes,134.94
654,238,237,no,184.86
282,432,251,no,195.78
580,222,261,no,203.58
384,474,169,no,131.82
194,348,133,no,103.74000000000001
532,232,299,no,233.22
518,294,293,no,228.54000000000002
586,244,259,no,202.02
602,218,241,no,187.98000000000002
534,258,310,no,241.8
502,398,285,no,222.3
416,496,208,no,162.24
596,380,381,no,297.18
350,342,278,no,216.84
296,480,204,no,159.12
342,200,108,yes,84.24000000000001
534,184,308,no,240.24
318,184,96,no,74.88
560,216,274,no,213.72
350,362,259,no,202.02
162,322,100,yes,78.0
256,408,218,no,170.04
586,360,362,no,282.36
568,254,252,no,196.56
716,252,293,no,228.54000000000002
348,476,167,no,130.26
704,230,272,no,212.16
398,442,174,no,135.72
610,192,223,no,173.94
296,412,248,no,193.44
574,306,378,no,294.84000000000003
634,644,142,no,110.76
506,276,275,no,214.5
48,592,149,yes,116.22
554,304,327,no,255.06
550,198,289,no,225.42000000000002
612,258,208,no,162.24
532,310,309,no,241.02
146,306,83,no,64.74000000000001
350,422,199,no,155.22
176,336,120,no,93.60000000000001
364,402,222,no,173.16
270,386,217,no,169.26000000000002
310,436,185,no,144.3
558,174,316,no,246.48000000000002
376,426,179,no,139.62
400,462,175,no,136.5
646,172,240,no,187.20000000000002
436,506,230,no,179.4
402,420,198,no,154.44
606,238,237,no,184.86
442,428,220,no,171.6
438,472,211,no,164.58
632,256,200,no,156.0
214,192,190,no,148.20000000000002
298,176,117,no,91.26
746,288,286,no,223.08
552,242,265,no,206.70000000000002
336,378,259,no,202.02
562,146,311,no,242.58
286,454,230,no,179.4
344,496,187,no,145.86
324,480,183,no,142.74
174,370,142,no,110.76
478,248,246,no,191.88
342,158,155,no,120.9
136,334,116,no,90.48
684,256,271,no,211.38
372,350,262,no,204.36
586,202,255,no,198.9
382,500,184,no,143.52
362,202,123,no,95.94
316,502,205,no,159.9
670,270,268,no,209.04000000000002
368,376,236,no,184.08
596,170,232,no,180.96
322,414,191,no,148.98000000000002
610,292,291,no,226.98000000000002
620,170,202,no,157.56
426,440,198,no,154.44
386,174,146,no,113.88000000000001
530,156,300,no,234.0
220,366,136,no,106.08
380,146,165,no,128.70000000000002
654,192,207,no,161.46
674,216,196,no,152.88
26,596,168,no,131.04
368,162,161,no,125.58
156,282,140,no,109.2
