x,y,r (pixel),is_circle,r (um)
362,474,38,yes,38
428,154,40,yes,40
508,106,54,yes,54
416,408,38,yes,38
596,142,43,yes,43
336,398,43,yes,43
338,48,36,yes,36
418,66,42,yes,42
726,560,40,yes,40
298,328,39,yes,39
216,130,36,yes,36
206,222,50,yes,50
106,244,46,yes,46
770,406,37,yes,37
586,380,36,yes,36
660,328,48,yes,48
800,594,38,yes,38
274,86,38,yes,38
494,374,52,yes,52
344,124,40,yes,40
654,206,41,yes,41
420,240,28,yes,28
368,202,32,yes,32
602,264,32,yes,32
50,286,31,yes,31
366,282,36,yes,36
110,332,42,yes,42
624,446,31,yes,31
450,488,48,yes,48
732,470,40,yes,40
796,146,36,yes,36
70,524,64,yes,64
658,62,61,no,61
542,460,48,yes,48
60,84,40,yes,40
802,282,36,yes,36
752,330,36,yes,36
538,182,35,yes,35
594,648,35,yes,35
300,236,40,yes,40
490,274,27,yes,27
816,508,44,yes,44
422,630,37,yes,37
442,302,36,yes,36
260,428,36,yes,36
542,244,27,yes,27
476,574,43,yes,43
668,132,27,yes,27
388,344,26,yes,26
224,642,39,yes,39
638,74,38,yes,38
786,44,43,no,43
772,214,31,yes,31
734,102,34,yes,34
394,556,43,yes,43
224,502,49,yes,49
126,94,32,yes,32
476,216,29,yes,29
212,352,49,yes,49
700,50,24,yes,24
604,514,35,yes,35
112,622,36,yes,36
618,586,33,yes,33
546,300,31,yes,31
824,358,35,yes,35
844,204,34,yes,34
170,38,45,yes,45
292,650,25,yes,25
76,170,36,yes,36
722,170,37,yes,37
682,428,23,yes,23
316,544,46,yes,46
44,604,34,yes,34
538,30,28,yes,28
100,40,28,yes,28
680,592,28,yes,28
252,280,25,yes,25
588,206,23,yes,23
250,14,40,yes,40
80,412,38,yes,38
758,642,27,yes,27
576,72,25,yes,25
150,456,31,yes,31
534,612,30,yes,30
662,544,22,yes,22
146,160,34,yes,34
278,144,26,yes,26
198,424,27,yes,27
708,386,28,yes,28
744,268,24,yes,24
264,188,22,yes,22
150,394,29,yes,29
826,98,18,yes,18
646,392,22,yes,22
716,226,27,yes,27
668,490,27,yes,27
550,554,28,yes,28
316,176,24,yes,24
682,256,22,yes,22
24,224,39,yes,39
686,92,18,yes,18
212,582,18,yes,18
594,316,18,yes,18
764,40,50,no,50
166,282,27,yes,27
160,658,23,yes,23
510,514,24,yes,24
834,310,13,yes,13
734,152,52,no,52
488,308,14,yes,14
222,70,21,yes,21
712,298,17,yes,17
492,562,53,no,53
158,558,31,yes,31
298,474,29,yes,29
288,600,28,yes,28
64,662,31,yes,31
208,286,15,yes,15
666,12,22,yes,22
720,610,18,yes,18
486,628,27,yes,27
792,90,16,yes,16
430,354,13,yes,13
782,452,17,yes,17
