x,y,r (pixel),is_circle,r (um)
646,542,68,no,68
724,594,74,no,74
326,434,66,no,66
758,598,46,no,46
572,408,52,yes,52
726,228,66,no,66
542,196,48,yes,48
192,152,72,no,72
780,452,60,no,60
554,608,48,yes,48
518,186,75,no,75
802,352,43,yes,43
292,614,70,no,70
710,238,46,yes,46
662,624,61,no,61
764,578,56,no,56
108,234,52,yes,52
540,590,70,no,70
642,602,70,no,70
294,224,62,no,62
274,626,48,yes,48
594,394,62,no,62
702,418,65,no,65
622,118,61,no,61
604,272,56,no,56
288,430,77,no,77
316,554,62,no,62
452,518,44,no,44
380,248,29,yes,29
500,324,61,no,61
294,92,46,yes,46
648,512,63,no,63
692,394,61,no,61
652,128,56,no,56
156,558,43,yes,43
324,234,36,yes,36
378,34,32,yes,32
698,638,34,no,34
270,314,52,no,52
686,234,61,no,61
186,352,49,no,49
618,538,49,no,49
68,584,53,yes,53
498,86,32,yes,32
208,494,44,yes,44
112,488,29,no,29
734,380,25,yes,25
770,206,55,no,55
356,146,46,no,46
682,424,44,yes,44
790,80,44,yes,44
156,160,39,yes,39
704,510,30,yes,30
752,134,30,yes,30
448,444,30,yes,30
792,334,56,no,56
90,336,46,yes,46
226,154,46,no,46
710,54,46,no,46
510,466,38,no,38
420,194,36,yes,36
796,174,25,yes,25
796,560,46,no,46
450,584,48,no,48
236,234,46,no,46
100,418,42,yes,42
208,44,42,no,42
334,540,40,yes,40
404,592,36,no,36
756,528,36,no,36
90,222,52,no,52
186,438,51,no,51
314,82,49,no,49
82,618,46,no,46
640,368,29,yes,29
112,98,50,no,50
382,602,40,no,40
724,310,34,no,34
628,452,28,yes,28
662,410,46,no,46
306,162,39,no,39
276,414,62,no,62
388,314,38,yes,38
56,60,29,yes,29
596,52,43,no,43
76,162,41,no,41
580,478,30,yes,30
174,474,53,no,53
522,318,52,no,52
384,384,45,no,45
496,254,42,no,42
554,98,33,yes,33
50,112,24,yes,24
438,258,23,no,23
352,526,49,no,49
660,300,28,no,28
710,112,25,yes,25
656,666,17,yes,17
636,204,39,no,39
538,524,32,yes,32
236,556,28,yes,28
434,644,26,yes,26
476,142,42,no,42
780,224,29,yes,29
160,454,24,yes,24
386,496,39,no,39
700,350,25,yes,25
90,400,46,no,46
706,560,29,no,29
462,366,23,no,23
826,228,20,yes,20
290,524,42,no,42
418,116,30,yes,30
216,290,28,yes,28
612,634,23,yes,23
422,66,22,yes,22
530,464,30,yes,30
198,104,29,yes,29
574,284,42,no,42
338,346,27,yes,27
810,276,31,no,31
706,164,28,yes,28
358,92,25,yes,25
156,290,34,yes,34
28,390,29,no,29
674,62,29,no,29
188,252,25,yes,25
510,410,31,no,31
392,546,21,yes,21
774,518,32,no,32
158,34,29,yes,29
736,178,29,no,29
18,156,25,yes,25
834,424,18,yes,18
534,134,17,yes,17
264,188,16,yes,16
274,506,28,yes,28
158,654,27,yes,27
156,410,23,yes,23
342,634,18,yes,18
338,306,16,yes,16
264,26,24,yes,24
140,228,25,no,25
388,442,23,yes,23
450,304,29,no,29
182,210,24,yes,24
804,592,23,no,23
42,188,13,yes,13
208,64,28,yes,28
678,350,30,no,30
834,138,27,yes,27
84,598,24,no,24
640,256,16,yes,16
650,24,16,yes,16
566,434,29,no,29
616,204,28,no,28
758,270,21,yes,21
124,56,16,yes,16
156,106,15,yes,15
550,630,33,no,33
196,476,23,no,23
568,332,23,no,23
424,562,17,yes,17
460,216,16,yes,16
312,528,30,no,30
376,660,25,no,25
106,640,24,yes,24
570,182,23,no,23
664,188,17,yes,17
590,154,18,yes,18
210,184,15,yes,15
458,60,15,yes,15
54,220,16,yes,16
692,660,14,yes,14
828,300,11,yes,11
58,450,22,yes,22
122,510,17,no,17
478,190,16,yes,16
404,614,14,no,14
