index,x,y,r (pixel),is_circle,r (um),probability
15,810,318,14,yes,14,0.5452166327420762
5,442,368,12,yes,12,0.5373108665749656
59,574,120,17,yes,17,0.5271986580397795
22,680,30,15,yes,15,0.5175369198312236
0,700,252,9,yes,9,0.5170863309352518
7,752,220,12,yes,12,0.515818431911967
33,692,96,16,yes,16,0.5098280098280098
1,440,536,10,yes,10,0.509689140088817
2,674,112,10,yes,10,0.5046427129592248
56,352,342,17,yes,17,0.5002396357536544
77,778,274,19,yes,19,0.49957026214009453
13,508,200,14,yes,14,0.49796452457109625
53,686,168,17,yes,17,0.4942487419122933
52,668,140,17,yes,17,0.4942487419122933
41,700,56,17,yes,17,0.4912532949916127
11,728,238,13,yes,13,0.4901166558651977
9,784,92,13,yes,13,0.4860661049902787
49,576,62,17,yes,17,0.4852624011502516
101,626,344,22,yes,22,0.485149416909621
16,612,120,14,yes,14,0.48342541436464087
36,658,622,16,yes,16,0.48218673218673214
19,804,464,14,yes,14,0.479790636813027
87,822,344,19,yes,19,0.4780833691448217
10,794,300,13,yes,13,0.4779650032404407
64,692,584,17,yes,17,0.47627606038820985
4,804,212,10,yes,10,0.47436415018167133
42,482,180,17,yes,17,0.4732806134675293
75,782,334,19,yes,19,0.47271164589600345
23,566,90,15,yes,15,0.47138713080168776
54,758,418,17,yes,17,0.47028516654684877
133,216,12,24,yes,24,0.4673290670259347
134,396,240,25,yes,25,0.4673089591567853
55,174,436,17,yes,17,0.46728971962616817
129,720,282,24,yes,24,0.4650483817150484
69,474,146,18,yes,18,0.4637858253721395
94,808,512,20,yes,20,0.46267252195734004
90,562,232,20,yes,20,0.46267252195734004
119,684,436,23,yes,23,0.4622496147919877
80,618,302,19,yes,19,0.46196819939836703
44,404,398,17,yes,17,0.4612988257848071
76,584,566,19,yes,19,0.4592823377739579
48,656,168,17,yes,17,0.4583033788641265
38,394,142,16,yes,16,0.4576167076167076
6,296,520,12,yes,12,0.45563961485557086
40,564,154,17,yes,17,0.45530793194344593
51,490,406,17,yes,17,0.45231248502276533
31,756,510,15,yes,15,0.45160864978902954
82,636,432,19,yes,19,0.45122475290073055
98,560,476,22,yes,22,0.4509839650145772
14,598,98,14,yes,14,0.4507124164001163
147,674,348,27,no,27,0.44961355529131986
67,280,54,17,yes,17,0.4493170381020848
3,686,192,10,yes,10,0.4491320145337101
160,174,368,32,yes,32,0.4488302264481421
78,630,266,19,yes,19,0.44853889127632146
18,504,146,14,yes,14,0.4470776388485025
45,522,522,17,yes,17,0.44632159118140424
21,682,292,15,yes,15,0.4450158227848101
123,106,452,24,yes,24,0.4441941941941942
85,726,428,19,yes,19,0.4431671680275032
8,152,618,13,yes,13,0.44151004536616983
135,34,340,25,yes,25,0.4405467720685112
24,422,24,15,yes,15,0.4384229957805907
127,744,110,24,yes,24,0.43793793793793795
153,208,510,29,yes,29,0.4371805219262846
118,582,324,23,yes,23,0.43656908063687727
176,532,282,45,no,45,0.43650064326410587
32,550,336,16,yes,16,0.4361179361179361
138,486,232,26,yes,26,0.435546875
137,404,450,25,yes,25,0.43437088274044794
58,448,200,17,yes,17,0.43433980349868195
91,816,178,20,no,20,0.4339188624006692
154,106,546,29,yes,29,0.43381759483454396
132,626,58,24,no,24,0.4337671004337671
140,532,372,26,yes,26,0.43359375
96,316,548,21,yes,21,0.4334582942830366
170,168,156,35,no,35,0.4330388281794931
29,700,314,15,yes,15,0.4318301687763713
114,100,196,22,yes,22,0.430484693877551
35,402,612,16,yes,16,0.4299754299754299
30,478,312,15,yes,15,0.4285337552742616
63,780,234,17,yes,17,0.4283489096573208
62,438,288,17,yes,17,0.4283489096573208
97,74,466,22,yes,22,0.42820699708454807
166,730,204,34,no,34,0.4275441140923374
102,706,122,22,no,22,0.4259293002915452
110,538,116,22,yes,22,0.4259293002915452
20,752,318,14,yes,14,0.42526897353881943
72,274,292,18,yes,18,0.424905576538547
81,584,282,19,yes,19,0.42436613665663947
106,554,410,22,yes,22,0.42365160349854225
145,590,188,27,yes,27,0.423602853745541
95,314,604,20,yes,20,0.4234629861982434
84,704,358,19,yes,19,0.4216802750322303
34,596,252,16,yes,16,0.42076167076167076
155,730,476,29,yes,29,0.41868442292171104
28,652,312,15,yes,15,0.41864451476793246
92,368,86,20,yes,20,0.41823504809703055
146,172,558,27,no,27,0.4180291319857313
37,824,288,16,yes,16,0.41769041769041765
12,486,60,13,yes,13,0.41720674011665587
125,622,226,24,yes,24,0.4170837504170838
124,646,98,24,no,24,0.4170837504170838
152,266,608,29,yes,29,0.4170029593758407
103,104,290,22,yes,22,0.4168185131195335
65,628,592,17,yes,17,0.4163671219745986
149,434,630,27,no,27,0.4161712247324614
130,776,476,24,no,24,0.41499833166499833
168,470,514,35,no,35,0.4126947221576377
139,822,116,26,no,26,0.412109375
126,374,484,24,no,24,0.41082749416082753
116,628,170,22,no,22,0.40998542274052474
107,314,110,22,yes,22,0.40998542274052474
74,702,390,18,yes,18,0.4082426127527216
164,746,648,33,no,33,0.4067447949133524
83,322,358,19,yes,19,0.40556510528577566
151,552,590,28,yes,28,0.4055449048812859
70,714,662,18,yes,18,0.4054654521217507
25,766,394,15,yes,15,0.40545886075949367
117,406,510,23,yes,23,0.40446841294298924
57,434,482,17,yes,17,0.4043853342918763
66,146,424,17,yes,17,0.4043853342918763
171,388,300,36,no,36,0.40322580645161293
121,230,558,24,yes,24,0.4024858191524858
79,342,580,19,yes,19,0.4001933820369575
156,484,454,29,yes,29,0.40018832391713743
26,580,436,15,yes,15,0.39886603375527424
158,478,622,29,no,29,0.39850686037126715
68,670,260,17,yes,17,0.3983944404505152
148,200,646,27,yes,27,0.3975921521997622
136,414,556,25,yes,25,0.39731554677206854
61,58,648,17,no,17,0.3953989935298346
162,384,48,32,no,32,0.39409483297885645
99,226,340,22,no,22,0.39404154518950435
108,686,634,22,no,22,0.39404154518950435
120,338,440,23,yes,23,0.3937681903783599
47,736,392,17,yes,17,0.39240354660915405
141,700,502,27,yes,27,0.39201843043995244
113,424,56,22,yes,22,0.3917638483965014
104,488,372,22,yes,22,0.38948615160349853
142,150,306,27,yes,27,0.3883026159334126
109,144,392,22,no,22,0.3872084548104956
89,540,48,20,yes,20,0.38686741948975323
60,490,552,17,yes,17,0.3864126527677929
17,442,166,14,yes,14,0.38528642047106715
157,802,622,29,no,29,0.3850551520043045
112,208,82,22,yes,22,0.3849307580174927
27,504,36,15,yes,15,0.3823839662447257
93,292,450,20,no,20,0.38163948138854037
46,798,372,17,yes,17,0.38042175892643176
161,328,496,32,yes,32,0.3800200175153259
143,280,484,27,yes,27,0.379013079667063
105,634,144,22,yes,22,0.37809766763848396
73,694,220,18,no,18,0.3749166851810709
163,334,158,32,yes,32,0.37376454397597897
122,450,404,24,yes,24,0.37328995662328995
175,534,174,44,no,44,0.3722768636823237
174,274,352,43,no,43,0.37176020883833677
167,230,220,34,no,34,0.3701353637901861
144,658,556,27,no,27,0.36972354340071345
131,716,604,24,no,24,0.36911911911911915
169,268,402,35,no,35,0.3691002092536619
100,462,340,22,yes,22,0.36898688046647227
43,512,80,17,yes,17,0.36843997124370953
150,270,146,27,yes,27,0.3678656361474435
159,344,644,32,yes,32,0.3659452020517953
39,238,372,16,yes,16,0.36547911547911544
86,184,104,19,no,19,0.3572195960464117
165,608,396,34,yes,34,0.3565385545080976
128,324,326,24,no,24,0.3545211878545212
173,370,530,39,no,39,0.3529623164595954
172,318,280,37,no,37,0.3518988739236035
177,720,552,49,no,49,0.34934678352902265
115,630,526,22,no,22,0.34848760932944606
111,220,602,22,no,22,0.3462099125364431
88,328,64,19,no,19,0.3303609798023206
50,792,656,17,yes,17,0.32650371435418163
71,776,192,18,yes,18,0.3221506331926239
