x,y,r (pixel),is_circle,r (um)
654,102,77,yes,77
716,456,85,yes,85
746,614,80,yes,80
426,100,77,yes,77
462,632,76,yes,76
760,220,80,no,80
318,554,74,yes,74
102,266,70,yes,70
326,202,64,yes,64
202,162,77,no,77
546,186,62,yes,62
610,358,54,yes,54
504,310,62,yes,62
382,320,70,no,70
100,54,72,yes,72
602,636,67,yes,67
440,494,61,yes,61
704,314,43,yes,43
148,394,73,yes,73
176,528,62,yes,62
130,650,52,yes,52
774,92,48,yes,48
236,284,59,yes,59
166,406,82,no,82
296,544,97,no,97
650,128,99,no,99
596,448,44,yes,44
300,86,53,yes,53
438,216,51,yes,51
542,530,51,yes,51
542,80,44,yes,44
76,464,46,yes,46
224,624,46,yes,46
740,216,86,no,86
216,282,80,no,80
638,248,49,yes,49
38,158,56,yes,56
252,446,49,yes,49
54,562,70,no,70
356,430,52,yes,52
516,412,44,yes,44
828,506,46,yes,46
190,544,82,no,82
160,512,80,no,80
184,150,72,no,72
214,44,43,yes,43
406,94,92,no,92
308,184,81,no,81
314,532,76,no,76
524,294,73,no,73
708,438,91,no,91
178,172,92,no,92
154,540,88,no,88
664,84,82,no,82
486,318,86,no,86
350,310,85,no,85
728,438,97,no,97
434,392,38,yes,38
812,338,62,yes,62
160,374,68,no,68
290,362,42,yes,42
110,248,71,no,71
452,476,74,no,74
102,286,87,no,87
442,634,93,no,93
440,80,89,no,89
766,606,82,no,82
522,534,74,no,74
602,338,66,no,66
468,612,74,no,74
700,468,65,no,65
328,178,69,no,69
442,114,56,no,56
80,258,63,no,63
24,392,62,no,62
122,270,72,no,72
82,44,65,no,65
580,636,46,no,46
186,508,56,no,56
438,614,51,no,51
310,576,48,no,48
408,114,49,no,49
632,102,54,no,54
216,308,55,no,55
322,226,41,no,41
740,2,43,no,43
