x,y,r (pixel),is_circle,r (um)
140,244,127,yes,127
426,232,126,yes,126
178,572,150,yes,150
674,232,94,yes,94
464,432,67,yes,67
788,76,76,yes,76
400,224,149,no,149
102,232,167,no,167
168,238,154,no,154
374,222,221,no,221
384,200,198,no,198
180,256,168,no,168
168,554,130,no,130
448,218,172,no,172
148,568,162,no,162
396,248,159,no,159
454,244,158,no,158
152,226,147,no,147
376,28,61,yes,61
402,192,190,no,190
584,6,112,yes,112
652,240,109,no,109
446,576,62,yes,62
424,180,178,no,178
424,252,132,no,132
374,258,182,no,182
426,202,169,no,169
672,208,134,no,134
218,28,79,yes,79
170,592,187,unmarked,187
186,222,144,no,144
162,268,186,no,186
120,220,160,no,160
470,258,203,no,203
164,198,161,no,161
210,568,183,no,183
132,264,142,no,142
362,196,196,no,196
546,522,42,yes,42
196,588,172,no,172
302,376,66,yes,66
690,244,94,no,94
640,218,142,no,142
176,286,172,no,172
262,130,39,yes,39
424,568,90,no,90
206,258,174,no,174
190,188,187,no,187
354,490,46,yes,46
140,202,139,no,139
388,12,92,no,92
440,428,87,no,87
120,246,145,no,145
668,252,98,no,98
212,506,177,no,177
190,554,145,no,145
170,528,106,no,106
698,208,104,no,104
196,522,133,no,133
440,450,95,no,95
148,598,178,no,178
164,492,134,no,134
120,196,105,no,105
444,262,90,no,90
234,16,81,no,81
282,392,77,no,77
376,320,139,no,139
202,204,133,no,133
796,96,55,no,55
420,590,83,no,83
174,308,158,no,158
498,442,102,no,102
142,296,137,no,137
462,560,71,no,71
320,364,70,no,70
238,36,67,no,67
778,58,58,no,58
484,194,136,no,136
370,478,65,no,65
232,568,116,no,116
480,418,70,no,70
178,476,113,no,113
252,570,113,no,113
104,272,82,no,82
320,388,50,no,50
298,410,71,no,71
346,180,66,no,66
200,44,55,no,55
438,552,58,no,58
140,176,67,no,67
356,42,38,no,38
378,298,68,no,68
374,498,45,no,45
278,118,42,no,42
