x,y,r (pixel),is_circle,r (um)
324,352,132,yes,132
556,196,158,yes,158
562,176,135,no,135
396,628,132,yes,132
290,350,149,no,149
138,562,142,yes,142
184,124,121,yes,121
732,396,129,yes,129
746,376,105,no,105
536,186,164,no,164
72,310,102,no,102
332,334,106,no,106
522,432,100,yes,100
636,590,98,yes,98
570,230,189,no,189
584,188,187,no,187
152,542,116,no,116
512,258,232,no,232
348,318,172,no,172
572,158,118,no,118
346,382,168,no,168
524,140,205,no,205
616,246,244,no,244
806,172,108,yes,108
410,606,107,no,107
230,116,123,no,123
532,410,76,no,76
198,146,144,no,144
752,408,101,no,101
490,222,224,no,224
618,206,220,no,220
550,216,177,no,177
116,560,156,no,156
516,232,208,no,208
520,206,191,no,191
536,160,182,no,182
554,468,148,no,148
304,334,142,no,142
618,168,167,no,167
714,366,138,no,138
534,450,121,no,121
376,342,184,no,184
642,570,79,no,79
202,194,193,no,193
382,378,168,no,168
292,316,149,no,149
642,204,202,no,202
544,428,123,no,123
310,372,109,no,109
320,314,168,no,168
202,168,167,no,167
602,222,221,no,221
228,150,168,no,168
418,644,158,no,158
384,320,150,no,150
670,576,100,no,100
356,344,164,no,164
592,158,156,no,156
562,248,206,no,206
206,112,107,no,107
778,382,127,no,127
498,434,117,no,117
674,364,165,no,165
578,210,118,no,118
600,560,123,no,123
376,34,95,yes,95
712,398,144,no,144
250,146,144,no,144
364,306,150,no,150
730,418,149,no,149
342,360,96,no,96
686,390,167,no,167
588,134,133,no,133
164,94,157,no,157
560,448,139,no,139
58,326,123,yes,123
374,630,149,no,149
784,360,148,no,148
182,102,134,no,134
172,556,128,no,128
556,412,101,no,101
340,174,57,yes,57
368,362,148,no,148
690,574,109,no,109
694,368,156,no,156
610,148,146,no,146
544,134,187,no,187
88,290,86,no,86
606,186,161,no,161
444,616,136,no,136
828,176,130,no,130
218,92,122,no,122
774,408,165,no,165
620,576,117,no,117
510,416,103,no,103
626,188,174,no,174
176,532,146,no,146
488,416,123,no,123
670,556,112,no,112
242,92,141,no,141
216,134,126,no,126
758,354,137,no,137
712,424,128,no,128
512,456,124,no,124
382,590,93,no,93
108,300,106,no,106
338,642,188,no,188
454,564,124,no,124
830,156,100,no,100
658,594,80,no,80
416,556,128,no,128
88,346,74,no,74
422,588,115,no,115
434,570,113,no,113
276,332,127,no,127
734,360,117,no,117
322,388,130,no,130
746,430,97,no,97
132,536,139,no,139
386,610,130,no,130
370,570,113,no,113
574,428,117,no,117
252,124,123,no,123
362,14,111,no,111
610,124,123,no,123
328,432,94,no,94
654,618,55,no,55
364,282,118,no,118
618,604,96,no,96
584,246,84,no,84
170,588,102,no,102
408,34,93,no,93
426,626,103,no,103
848,596,97,no,97
352,580,124,no,124
392,48,68,no,68
368,168,65,no,65
626,226,132,no,132
566,392,96,no,96
114,520,166,no,166
110,280,110,no,110
278,298,104,no,104
14,154,56,no,56
808,150,87,no,87
186,362,36,yes,36
160,146,85,no,85
98,364,54,no,54
360,406,61,no,61
720,322,89,no,89
150,580,98,no,98
644,542,80,no,80
578,284,63,no,63
196,84,83,no,83
98,320,82,no,82
338,154,68,no,68
598,278,74,no,74
404,576,81,no,81
716,346,77,no,77
224,280,54,no,54
440,460,43,no,43
214,370,64,no,64
452,596,69,no,69
762,442,65,no,65
336,408,54,no,54
694,340,72,no,72
276,70,67,no,67
232,176,51,no,51
570,266,82,no,82
784,426,66,no,66
528,556,50,no,50
530,578,50,no,50
428,424,37,no,37
788,146,80,no,80
208,248,48,no,48
390,464,36,no,36
694,320,59,no,59
498,396,42,no,42
638,450,38,no,38
628,360,33,no,33
732,520,26,no,26
380,402,40,no,40
348,602,49,no,49
190,272,49,no,49
208,350,37,no,37
436,396,28,no,28
354,194,34,no,34
504,150,63,no,63
460,476,41,no,41
522,532,29,no,29
580,468,46,no,46
204,610,56,no,56
400,348,45,no,45
