x,y,r (pixel),is_circle,r (um)
48,300,206,yes,206
454,340,213,yes,213
22,310,248,no,248
806,502,184,yes,184
472,332,182,no,182
486,314,161,no,161
492,348,234,no,234
456,362,208,no,208
480,366,201,no,201
456,316,187,no,187
426,346,220,no,220
514,364,262,no,262
790,518,162,no,162
534,380,288,no,288
818,486,205,no,205
774,108,187,yes,187
66,290,186,no,186
846,474,232,no,232
254,486,94,no,94
30,330,233,no,233
436,380,232,no,232
28,282,220,no,220
436,328,209,no,209
512,318,153,no,153
494,288,148,no,148
10,330,252,no,252
830,462,230,no,230
26,368,306,no,306
508,400,246,no,246
112,554,67,yes,67
472,298,168,no,168
48,274,187,no,187
86,280,179,no,179
792,488,163,no,163
488,268,134,no,134
72,314,208,no,208
812,524,204,no,204
492,246,112,no,112
532,332,135,no,135
446,296,206,no,206
18,348,253,no,253
68,270,171,no,171
516,292,126,no,126
236,472,72,yes,72
468,276,133,no,133
796,466,131,no,131
512,338,142,no,142
270,500,115,no,115
508,270,116,no,116
532,352,120,no,120
780,452,111,no,111
472,256,125,no,125
446,270,110,no,110
56,252,162,no,162
72,236,144,no,144
562,382,81,no,81
86,258,150,no,150
552,338,117,no,117
594,494,68,no,68
772,434,87,no,87
578,396,61,no,61
448,248,98,no,98
272,472,55,no,55
838,498,168,no,168
804,444,98,no,98
136,568,38,no,38
52,224,140,no,140
68,190,99,no,99
752,440,80,no,80
554,360,88,no,88
560,442,42,no,42
466,236,85,no,85
248,454,48,no,48
324,532,28,no,28
