x,y,r (pixel),is_circle,r (um)
418,388,180,yes,180
382,406,238,no,238
400,398,221,no,221
658,80,184,yes,184
370,424,258,no,258
160,588,102,yes,102
402,420,209,no,209
426,424,209,no,209
786,406,150,yes,150
440,400,189,no,189
468,442,241,no,241
422,346,166,no,166
138,582,124,no,124
446,430,226,no,226
396,376,205,no,205
444,368,166,no,166
410,442,232,no,232
680,60,213,no,213
362,390,235,no,235
422,366,164,no,164
390,446,271,no,271
180,244,75,yes,75
416,472,256,no,256
598,544,68,yes,68
800,424,197,no,197
454,466,218,no,218
768,394,129,no,129
456,388,186,no,186
434,322,139,no,139
128,604,140,no,140
162,568,90,no,90
460,408,205,no,205
184,218,119,no,119
182,582,124,no,124
198,600,170,no,170
18,384,176,no,176
698,70,135,no,135
660,56,206,no,206
342,404,162,no,162
200,244,57,no,57
384,352,132,no,132
470,374,197,no,197
608,562,48,no,48
618,542,48,no,48
774,364,109,no,109
162,230,52,no,52
790,386,123,no,123
750,368,122,no,122
442,344,134,no,134
38,386,104,no,104
192,264,76,no,76
4,366,121,no,121
720,72,114,no,114
176,604,98,no,98
98,144,30,no,30
300,642,49,no,49
220,230,34,no,34
630,558,42,no,42
