index,x,y,r (pixel),is_circle,r (um),probability
11,464,282,37,yes,37,0.5961538461538461
15,42,18,45,yes,45,0.5073529411764706
9,348,126,36,yes,36,0.505
6,530,192,28,yes,28,0.4807692307692308
2,186,142,20,yes,20,0.38392857142857145
7,438,106,32,yes,32,0.37777777777777777
0,456,560,16,yes,16,0.36363636363636365
14,502,616,42,yes,42,0.3559322033898305
5,18,588,25,yes,25,0.35514018691588783
13,626,650,38,yes,38,0.32620320855614976
3,446,172,21,yes,21,0.31896551724137934
1,666,586,18,yes,18,0.29
8,520,534,34,yes,34,0.2708333333333333
10,402,390,36,yes,36,0.25
12,566,646,37,no,37,0.21153846153846154
4,658,380,25,yes,25,0.2
18,158,426,120,yes,120,0.14349112426035504
19,172,408,125,no,125,0.12357954545454546
17,170,442,102,no,102,0.11458333333333333
16,150,446,83,no,83,0.05982905982905983
