x,y,r (pixel),is_circle,r (um)
202,200,99,no,99
540,102,99,no,99
626,206,95,no,95
254,170,99,no,99
274,182,92,no,92
156,212,90,no,90
392,100,99,no,99
136,210,88,no,88
644,160,99,no,99
474,202,98,no,98
218,384,95,no,95
300,306,91,no,91
476,314,84,no,84
630,334,99,no,99
366,302,87,no,87
150,284,86,no,86
492,252,99,no,99
282,202,76,no,76
128,468,99,no,99
150,234,83,no,83
222,350,75,no,75
678,148,84,no,84
302,74,72,no,72
752,440,99,no,99
772,448,70,no,70
144,444,91,no,91
646,192,91,no,91
658,136,90,no,90
590,96,83,no,83
370,82,77,no,77
140,78,74,no,74
290,288,74,no,74
376,142,72,no,72
734,48,38,yes,38
692,504,88,no,88
238,596,87,no,87
520,232,77,no,77
594,398,84,no,84
104,214,70,no,70
272,76,72,no,72
102,78,66,no,66
324,466,83,no,83
70,228,65,no,65
90,322,71,no,71
692,164,71,no,71
392,64,62,no,62
278,54,50,yes,50
652,364,77,no,77
762,416,70,no,70
488,96,63,no,63
240,192,72,no,72
670,190,67,no,67
440,202,76,no,76
470,178,68,no,68
526,82,58,no,58
120,448,76,no,76
612,98,38,yes,38
496,214,68,no,68
242,368,53,no,53
118,50,50,no,50
502,410,70,no,70
614,290,42,no,42
212,68,50,no,50
726,250,48,no,48
374,174,24,yes,24
368,332,60,no,60
672,168,53,no,53
192,50,48,no,48
62,358,62,no,62
782,428,56,no,56
396,230,40,no,40
328,238,48,no,48
668,260,28,yes,28
130,146,50,no,50
778,130,56,no,56
536,64,49,no,49
288,122,48,no,48
338,494,48,no,48
806,252,44,yes,44
594,280,42,no,42
466,448,62,no,62
750,270,54,no,54
268,300,48,no,48
674,458,48,no,48
494,370,46,no,46
468,90,46,no,46
550,294,44,no,44
468,356,54,no,54
80,208,40,no,40
260,240,38,no,38
58,166,33,no,33
62,334,52,no,52
60,88,48,no,48
312,398,48,no,48
708,318,46,no,46
482,270,38,no,38
788,330,27,yes,27
170,312,54,no,54
362,56,46,no,46
540,470,39,yes,39
402,538,31,yes,31
704,214,24,yes,24
122,506,60,no,60
782,178,50,no,50
582,164,42,no,42
600,586,40,yes,40
492,548,66,no,66
744,592,58,no,58
764,604,46,no,46
174,346,46,no,46
112,304,40,no,40
170,144,27,yes,27
700,384,27,yes,27
286,568,54,no,54
438,338,52,no,52
486,426,48,no,48
546,148,44,no,44
792,112,35,yes,35
122,124,34,no,34
558,86,51,no,51
224,122,46,no,46
632,358,38,yes,38
418,278,35,no,35
492,130,34,no,34
668,78,32,no,32
416,342,31,yes,31
204,458,54,no,54
732,288,54,no,54
712,500,44,no,44
728,114,43,no,43
132,272,32,yes,32
628,384,52,no,52
464,258,49,no,49
258,56,48,no,48
346,300,44,no,44
40,220,40,no,40
566,206,29,no,29
188,180,46,no,46
328,190,30,no,30
386,408,29,yes,29
714,134,40,no,40
136,524,38,no,38
658,440,44,no,44
196,272,41,no,41
186,326,42,no,42
190,70,40,no,40
612,224,34,no,34
712,402,34,no,34
632,512,34,no,34
364,262,27,no,27
540,244,43,no,43
714,46,42,no,42
530,296,33,no,33
424,144,28,yes,28
730,174,27,yes,27
658,546,43,no,43
70,268,29,yes,29
272,260,41,no,41
590,34,30,no,30
166,388,25,no,25
450,178,47,no,47
598,150,38,no,38
324,130,32,no,32
532,410,31,no,31
110,170,25,no,25
478,38,24,no,24
370,354,19,yes,19
696,618,47,no,47
334,418,44,no,44
96,56,38,no,38
552,366,32,no,32
46,186,28,no,28
542,22,21,yes,21
42,518,46,yes,46
46,346,42,no,42
330,344,37,no,37
102,130,32,no,32
190,232,21,yes,21
58,108,36,no,36
210,478,33,no,33
438,478,41,no,41
308,350,34,no,34
234,266,29,no,29
232,100,25,no,25
558,260,28,no,28
20,274,24,yes,24
508,346,32,no,32
578,330,22,yes,22
832,146,22,yes,22
650,24,38,yes,38
744,354,28,no,28
738,134,36,no,36
304,418,34,no,34
526,154,31,no,31
584,416,27,yes,27
688,324,41,no,41
80,574,32,no,32
242,324,31,no,31
764,58,25,no,25
54,430,24,no,24
292,150,20,no,20
684,100,29,no,29
268,110,28,no,28
22,138,27,yes,27
58,144,27,no,27
536,316,30,no,30
204,538,29,no,29
614,452,28,no,28
278,348,22,no,22
76,36,18,yes,18
242,498,30,no,30
576,528,29,yes,29
762,494,24,yes,24
132,360,23,no,23
194,104,18,yes,18
532,196,16,yes,16
244,430,33,no,33
462,376,31,no,31
188,508,23,yes,23
740,216,22,yes,22
166,96,18,yes,18
800,188,30,no,30
756,544,26,no,26
184,414,22,yes,22
386,452,21,no,21
646,306,21,yes,21
358,206,16,yes,16
442,38,23,yes,23
324,168,22,no,22
736,76,21,no,21
298,626,18,yes,18
504,386,17,yes,17
472,640,43,yes,43
188,628,30,yes,30
150,170,27,no,27
416,182,20,yes,20
448,66,18,no,18
554,180,15,yes,15
66,186,14,yes,14
282,416,14,yes,14
64,456,19,yes,19
752,312,15,yes,15
