x,y,r (pixel),is_circle,r (um)
216,88,36,yes,36
296,130,35,yes,35
374,138,32,yes,32
146,88,34,yes,34
600,100,33,yes,33
408,288,36,yes,36
56,186,34,yes,34
300,226,29,yes,29
510,522,33,yes,33
90,546,37,yes,37
340,76,33,yes,33
208,186,30,yes,30
442,148,38,yes,38
408,84,34,yes,34
534,76,32,yes,32
36,248,29,yes,29
450,518,29,yes,29
330,442,32,yes,32
110,32,37,yes,37
652,146,33,yes,33
196,420,30,yes,30
538,648,34,yes,34
754,74,32,yes,32
320,282,29,yes,29
802,26,28,yes,28
278,328,28,yes,28
346,512,38,yes,38
728,312,32,yes,32
144,392,34,yes,34
822,242,34,yes,34
154,152,34,yes,34
404,624,32,no,32
358,334,30,yes,30
50,36,26,yes,26
246,382,30,yes,30
224,468,27,yes,27
106,266,35,yes,35
654,206,27,yes,27
174,32,30,yes,30
86,420,32,yes,32
460,38,30,yes,30
276,68,29,yes,29
366,16,34,yes,34
366,578,32,yes,32
708,32,27,yes,27
476,422,24,yes,24
308,384,36,yes,36
46,100,33,yes,33
618,292,26,yes,26
704,246,29,yes,29
708,184,29,yes,29
252,576,24,yes,24
546,134,26,yes,26
152,214,29,yes,29
712,122,28,yes,28
70,316,26,yes,26
528,250,26,yes,26
708,544,34,yes,34
722,418,30,yes,30
722,614,33,yes,33
524,588,29,yes,29
34,640,27,yes,27
816,86,26,yes,26
366,214,23,yes,23
138,644,32,yes,32
142,586,27,yes,27
462,610,25,yes,25
534,194,33,yes,33
630,42,28,yes,28
268,180,25,yes,25
84,610,32,yes,32
148,450,30,yes,30
666,584,25,yes,25
288,488,26,yes,26
102,122,24,yes,24
168,272,32,yes,32
222,624,29,yes,29
160,528,27,yes,27
260,524,22,yes,22
110,344,22,yes,22
470,270,20,yes,20
792,416,28,yes,28
212,518,27,yes,27
316,652,27,yes,27
64,370,28,yes,28
792,478,27,yes,27
530,468,27,yes,27
664,492,27,yes,27
262,660,25,yes,25
412,348,24,yes,24
764,262,24,yes,24
504,350,20,yes,20
