x,y,r (pixel),is_circle,r (um)
524,558,228,yes,228
560,90,218,yes,218
148,310,227,no,227
136,282,255,no,255
154,290,218,yes,218
552,552,184,no,184
574,66,245,no,245
192,288,198,no,198
588,50,266,no,266
540,572,210,no,210
536,538,206,no,206
170,312,192,no,192
554,70,239,no,239
168,272,270,no,270
530,54,234,no,234
564,572,271,no,271
536,76,225,no,225
540,598,271,no,271
174,338,245,no,245
504,560,249,no,249
544,518,168,no,168
502,586,239,no,239
120,262,261,no,261
150,336,247,no,247
574,548,202,no,202
582,96,181,no,181
522,522,168,no,168
516,606,276,no,276
484,606,262,no,262
558,112,197,no,197
592,580,300,no,300
564,46,262,no,262
572,590,247,no,247
130,302,239,no,239
600,560,230,no,230
614,582,322,no,322
560,532,187,no,187
590,116,253,no,253
198,348,313,no,313
108,284,282,no,282
136,350,267,no,267
138,246,245,no,245
214,298,243,no,243
564,508,165,no,165
226,382,301,no,301
206,320,234,no,234
190,268,180,no,180
524,586,219,no,219
482,554,271,no,271
500,528,156,no,156
116,236,304,no,304
506,70,281,no,281
232,354,276,no,276
536,496,144,no,144
476,586,258,no,258
620,154,226,no,226
224,278,239,no,239
592,78,173,no,173
462,552,292,no,292
614,96,220,no,220
530,34,244,no,244
602,534,227,no,227
594,600,253,no,253
148,264,216,no,216
508,506,173,no,173
596,144,193,no,193
580,526,195,no,195
182,232,179,no,179
490,56,276,no,276
620,120,221,no,221
624,70,220,no,220
532,110,200,no,200
604,180,179,no,179
508,92,278,no,278
168,252,176,no,176
96,222,307,no,307
552,484,133,no,133
518,480,150,no,150
846,336,185,no,185
160,232,161,no,161
580,486,139,no,139
852,314,130,no,130
236,302,222,no,222
202,248,156,no,156
610,612,263,no,263
488,508,135,no,135
188,210,165,no,165
230,330,132,no,132
650,114,112,no,112
498,468,109,no,109
476,526,134,no,134
638,88,128,no,128
168,208,160,no,160
838,296,109,no,109
546,462,132,no,132
700,146,114,no,114
850,278,95,no,95
486,104,157,no,157
142,214,137,no,137
436,526,156,no,156
208,374,138,no,138
638,132,114,no,114
578,458,98,no,98
452,114,125,no,125
492,488,122,no,122
662,92,124,no,124
466,490,107,no,107
630,566,133,no,133
252,350,103,no,103
220,404,107,no,107
602,452,78,no,78
824,272,75,no,75
616,514,110,no,110
836,218,48,no,48
636,170,90,no,90
270,316,102,no,102
488,82,90,no,90
630,204,66,no,66
