x,y,r (pixel),is_circle,r (um)
122,130,51,yes,51
434,192,77,yes,77
334,322,55,yes,55
100,462,94,yes,94
788,506,49,yes,49
482,360,92,yes,92
570,518,68,yes,68
442,498,65,yes,65
688,520,52,yes,52
784,390,64,yes,64
208,344,62,yes,62
640,406,69,yes,69
714,256,82,yes,82
486,630,74,yes,74
114,442,95,no,95
250,198,95,yes,95
712,124,55,yes,55
574,204,67,yes,67
98,288,64,yes,64
830,54,89,yes,89
526,72,75,yes,75
190,570,55,yes,55
290,470,94,yes,94
442,174,81,no,81
680,16,56,yes,56
260,180,99,no,99
374,38,86,yes,86
620,120,37,yes,37
54,26,37,yes,37
490,342,94,no,94
468,342,107,no,107
270,464,107,no,107
672,408,97,no,97
606,294,37,yes,37
64,198,44,yes,44
150,224,33,yes,33
734,260,96,no,96
668,646,102,no,102
646,632,79,yes,79
458,484,72,no,72
640,384,73,no,73
322,624,63,no,63
604,18,21,yes,21
692,242,58,no,58
264,72,34,yes,34
540,56,55,no,55
98,428,90,no,90
474,322,61,no,61
