x,y,r (pixel),is_circle,r (um)
102,356,44,yes,129.8
214,476,42,no,123.9
572,288,43,yes,126.85000000000001
440,366,37,yes,109.15
62,150,69,no,203.55
646,206,88,no,259.6
338,270,36,yes,106.2
696,640,45,yes,132.75
44,128,93,no,274.35
310,364,34,yes,100.30000000000001
492,310,41,yes,120.95
632,172,85,no,250.75000000000003
604,414,46,yes,135.70000000000002
622,426,94,no,277.3
676,312,78,no,230.10000000000002
740,494,45,yes,132.75
550,366,31,yes,91.45
580,190,30,yes,88.5
714,116,29,yes,85.55000000000001
56,174,94,no,277.3
612,140,33,yes,97.35000000000001
500,494,66,no,194.70000000000002
816,166,35,yes,103.25
740,174,34,yes,100.30000000000001
790,430,34,yes,100.30000000000001
594,488,29,yes,85.55000000000001
120,368,62,no,182.9
644,598,28,yes,82.60000000000001
758,366,40,yes,118.0
304,646,25,yes,73.75
184,330,27,yes,79.65
418,116,26,yes,76.7
344,186,23,yes,67.85000000000001
782,286,39,yes,115.05000000000001
638,272,29,yes,85.55000000000001
262,544,33,yes,97.35000000000001
610,344,30,yes,88.5
820,88,29,yes,85.55000000000001
424,212,31,yes,91.45
58,630,30,yes,88.5
726,234,29,yes,85.55000000000001
544,184,62,no,182.9
718,420,31,yes,91.45
782,222,31,yes,91.45
742,68,27,yes,79.65
602,446,70,no,206.5
154,156,27,yes,79.65
408,314,26,yes,76.7
380,462,24,yes,70.80000000000001
34,552,22,yes,64.9
206,248,28,yes,82.60000000000001
222,368,28,yes,82.60000000000001
134,652,33,yes,97.35000000000001
62,480,29,yes,85.55000000000001
154,230,27,yes,79.65
778,590,24,yes,70.80000000000001
500,36,23,yes,67.85000000000001
508,118,48,no,141.60000000000002
716,290,30,yes,88.5
672,148,28,yes,82.60000000000001
206,146,23,yes,67.85000000000001
766,118,30,yes,88.5
462,172,22,yes,64.9
552,96,23,yes,67.85000000000001
614,532,22,yes,64.9
690,368,28,yes,82.60000000000001
484,214,24,yes,70.80000000000001
88,662,21,no,61.95
532,68,50,no,147.5
454,258,25,yes,73.75
692,198,24,yes,70.80000000000001
304,158,23,yes,67.85000000000001
482,132,22,yes,64.9
600,88,21,yes,61.95
142,412,27,yes,79.65
402,262,27,yes,79.65
526,150,23,yes,67.85000000000001
466,82,25,yes,73.75
650,94,23,yes,67.85000000000001
204,78,22,yes,64.9
666,450,28,yes,82.60000000000001
256,168,24,yes,70.80000000000001
468,462,26,yes,76.7
688,536,22,yes,64.9
788,40,20,yes,59.0
592,46,23,yes,67.85000000000001
118,280,34,no,100.30000000000001
842,332,32,yes,94.4
76,574,24,yes,70.80000000000001
676,496,17,yes,50.150000000000006
578,232,17,yes,50.150000000000006
354,214,46,no,135.70000000000002
164,286,23,yes,67.85000000000001
188,662,22,yes,64.9
814,384,22,yes,64.9
118,342,42,no,123.9
536,122,34,no,100.30000000000001
278,608,15,yes,44.25
436,442,48,no,141.60000000000002
846,472,31,yes,91.45
120,80,20,yes,59.0
436,162,39,no,115.05000000000001
834,226,26,yes,76.7
290,244,17,yes,50.150000000000006
370,306,12,yes,35.400000000000006
530,506,38,no,112.10000000000001
436,520,16,yes,47.2
398,410,14,yes,41.300000000000004
310,206,26,no,76.7
764,640,14,yes,41.300000000000004
658,370,25,no,73.75
684,240,16,yes,47.2
500,602,16,yes,47.2
480,572,17,yes,50.150000000000006
798,478,16,yes,47.2
636,500,20,yes,59.0
448,294,21,no,61.95
498,542,10,yes,29.5
