x,y,r (pixel),is_circle,r (um)
644,192,81,yes,81
276,154,100,yes,100
232,336,91,yes,91
798,256,49,yes,49
582,488,73,yes,73
116,156,73,yes,73
150,526,74,yes,74
106,412,55,yes,55
30,298,94,yes,94
692,36,65,yes,65
496,558,46,yes,46
460,474,52,yes,52
358,422,62,yes,62
408,612,61,yes,61
254,156,107,no,107
312,506,42,yes,42
660,650,98,yes,98
802,614,55,yes,55
272,634,87,yes,87
196,334,123,no,123
296,164,103,no,103
218,356,116,no,116
128,172,81,no,81
238,360,114,no,114
390,522,34,yes,34
220,318,72,no,72
268,136,103,no,103
256,340,104,no,104
662,180,92,no,92
288,138,80,no,80
558,84,24,yes,24
244,318,77,no,77
138,642,56,yes,56
270,178,82,no,82
630,176,61,no,61
132,142,75,no,75
172,524,86,no,86
20,88,19,yes,19
664,202,82,no,82
626,206,63,no,63
506,650,53,yes,53
242,136,56,no,56
782,242,29,no,29
