x,y,r (pixel),is_circle,r (um)
540,260,46,yes,46
774,498,51,yes,51
210,314,44,yes,44
592,184,44,yes,44
322,64,44,yes,44
332,418,36,yes,36
648,636,36,yes,36
512,180,35,yes,35
276,162,44,yes,44
690,182,40,yes,40
686,384,51,yes,51
630,248,35,yes,35
536,362,58,no,58
142,544,48,yes,48
354,496,45,yes,45
52,554,44,yes,44
650,24,43,yes,43
72,116,40,yes,40
198,172,38,yes,38
282,470,34,yes,34
296,300,45,yes,45
454,236,42,yes,42
154,376,32,yes,32
454,560,48,yes,48
454,314,40,yes,40
102,634,50,yes,50
60,202,48,yes,48
406,90,41,yes,41
238,238,40,yes,40
546,116,37,yes,37
612,348,28,yes,28
404,414,37,yes,37
432,480,34,yes,34
274,648,33,yes,33
136,314,33,yes,33
140,240,51,yes,51
192,424,27,yes,27
214,520,30,yes,30
376,204,45,yes,45
730,126,29,yes,29
366,354,42,yes,42
670,476,56,no,56
144,96,35,yes,35
782,400,35,yes,35
612,90,34,yes,34
374,566,33,yes,33
278,538,36,yes,36
212,588,40,yes,40
780,100,31,yes,31
222,466,27,yes,27
12,322,49,yes,49
278,374,36,yes,36
132,430,30,yes,30
672,370,48,no,48
784,240,38,yes,38
626,552,38,yes,38
706,260,42,yes,42
496,442,41,yes,41
192,58,28,yes,28
70,266,35,yes,35
554,32,36,no,36
82,48,27,yes,27
82,388,40,yes,40
408,628,36,yes,36
168,474,28,yes,28
88,480,40,no,40
472,120,36,yes,36
204,108,26,yes,26
538,536,40,yes,40
598,486,41,yes,41
700,598,35,yes,35
430,166,32,no,32
604,412,37,yes,37
244,420,24,yes,24
758,486,38,no,38
744,176,37,no,37
308,224,32,yes,32
82,320,25,yes,25
208,660,36,yes,36
538,588,42,no,42
394,278,37,yes,37
488,642,42,yes,42
492,498,24,yes,24
520,346,50,no,50
720,56,35,no,35
342,130,28,yes,28
810,166,41,yes,41
742,622,37,no,37
764,576,22,no,22
126,160,34,yes,34
588,602,32,no,32
646,302,41,no,41
288,596,21,yes,21
764,338,30,yes,30
138,22,27,yes,27
398,142,19,yes,19
216,376,17,yes,17
334,618,29,yes,29
666,94,34,yes,34
342,248,28,yes,28
46,438,20,yes,20
138,522,37,no,37
562,674,45,yes,45
84,644,40,no,40
254,88,32,yes,32
472,630,33,no,33
286,420,18,yes,18
554,452,24,no,24
24,246,17,yes,17
586,300,17,yes,17
800,326,10,yes,10
