x,y,r (pixel),is_circle,r (um)
158,286,86,yes,86
254,146,85,yes,85
228,592,90,yes,90
664,436,101,yes,101
414,200,102,yes,102
470,220,165,no,165
708,248,77,yes,77
374,364,60,yes,60
590,172,74,yes,74
500,70,54,yes,54
138,484,53,yes,53
234,562,87,no,87
208,568,104,no,104
798,598,90,yes,90
416,440,151,no,151
434,218,100,no,100
142,270,88,no,88
698,436,121,no,121
376,52,70,yes,70
634,444,132,no,132
458,484,101,no,101
470,504,100,yes,100
690,464,106,no,106
672,412,107,no,107
484,346,54,yes,54
670,212,109,no,109
394,208,121,no,121
252,582,111,no,111
576,290,70,no,70
712,228,86,no,86
272,138,106,no,106
40,152,94,yes,94
624,52,77,yes,77
228,418,65,yes,65
234,126,90,no,90
668,468,95,no,95
720,114,39,yes,39
228,612,73,no,73
146,304,64,no,64
190,574,109,no,109
578,588,61,yes,61
212,394,89,no,89
610,580,79,no,79
300,286,62,yes,62
336,458,51,yes,51
178,272,89,no,89
772,578,82,no,82
44,392,71,yes,71
564,174,85,no,85
240,436,61,no,61
162,42,56,yes,56
662,140,34,yes,34
350,338,84,no,84
596,302,71,yes,71
320,446,60,no,60
58,406,62,no,62
670,490,74,no,74
786,614,68,no,68
564,400,45,no,45
452,234,77,no,77
688,250,54,no,54
354,550,48,yes,48
586,616,35,no,35
728,256,56,no,56
286,300,41,no,41
580,190,55,no,55
606,190,41,no,41
700,278,46,no,46
568,264,64,no,64
218,448,48,no,48
720,478,55,no,55
