x,y,r (pixel),is_circle,r (um)
448,530,99,no,99
766,424,73,yes,73
638,488,73,yes,73
402,324,85,yes,85
260,178,77,yes,77
540,58,67,yes,67
436,548,119,yes,119
170,320,82,yes,82
680,138,80,yes,80
660,318,79,yes,79
408,144,79,yes,79
534,218,68,yes,68
468,530,147,no,147
712,626,61,yes,61
192,304,138,no,138
802,276,66,yes,66
186,482,67,yes,67
670,112,111,no,111
152,332,101,no,101
696,124,116,no,116
254,46,58,yes,58
386,336,108,no,108
276,192,96,no,96
240,196,103,no,103
384,298,116,no,116
158,298,106,no,106
584,620,53,yes,53
162,358,124,no,124
62,452,63,yes,63
374,356,131,no,131
422,562,121,no,121
532,384,61,yes,61
270,578,67,yes,67
278,170,99,no,99
458,554,81,no,81
310,442,45,yes,45
666,510,108,no,108
618,312,121,no,121
680,290,106,no,106
162,164,34,yes,34
372,18,48,yes,48
420,534,104,no,104
660,150,102,no,102
640,334,103,no,103
446,508,78,no,78
750,516,29,yes,29
280,280,32,yes,32
104,196,59,no,59
536,198,48,no,48
770,404,46,no,46
814,256,74,no,74
180,98,36,yes,36
272,136,106,no,106
686,158,98,no,98
526,242,92,no,92
660,298,59,no,59
522,48,86,no,86
196,462,46,no,46
394,124,93,no,93
634,466,54,no,54
448,572,95,no,95
190,340,54,no,54
284,560,61,no,61
254,158,63,no,63
404,300,80,no,80
4,136,66,yes,66
92,442,66,no,66
74,432,42,no,42
10,280,49,no,49
290,152,65,no,65
424,156,50,no,50
844,540,52,no,52
122,106,29,yes,29
390,160,56,no,56
656,26,28,yes,28
850,112,78,yes,78
76,216,25,no,25
