x,y,r (pixel),is_circle,r (um)
726,188,116,yes,116
330,406,138,yes,138
234,194,99,yes,99
516,258,90,yes,90
728,418,121,yes,121
104,324,90,yes,90
734,398,96,no,96
534,458,85,yes,85
310,400,147,no,147
318,432,164,no,164
90,532,120,yes,120
354,408,162,no,162
704,188,133,no,133
686,424,152,no,152
396,634,124,no,124
526,50,135,yes,135
104,518,100,no,100
348,380,109,no,109
270,328,227,no,227
740,170,94,no,94
374,452,201,no,201
324,368,161,no,161
780,564,63,yes,63
312,30,87,yes,87
292,386,168,no,168
378,428,190,no,190
330,314,231,no,231
720,208,137,no,137
396,382,209,no,209
546,494,124,no,124
394,438,210,no,210
330,448,176,no,176
544,64,107,no,107
68,540,144,no,144
770,146,144,no,144
258,568,59,yes,59
544,272,120,no,120
710,426,134,no,134
282,410,177,no,177
418,616,96,no,96
84,184,53,yes,53
376,396,136,no,136
740,204,90,no,90
342,426,153,no,153
714,158,134,no,134
760,184,119,no,119
250,178,75,no,75
300,358,188,no,188
750,412,115,no,115
342,466,192,no,192
380,336,187,no,187
482,260,121,no,121
564,282,126,no,126
684,198,156,no,156
106,28,106,yes,106
80,286,135,no,135
108,538,109,no,109
294,432,143,no,143
130,302,123,no,123
780,166,146,no,146
710,406,124,no,124
210,198,123,no,123
340,164,161,no,161
544,38,123,no,123
252,208,72,no,72
526,240,70,no,70
682,398,145,no,145
736,436,87,no,87
278,370,190,no,190
92,552,140,no,140
120,338,66,no,66
514,438,113,no,113
370,640,155,no,155
282,160,121,no,121
226,174,105,no,105
770,388,136,no,136
564,252,106,no,106
142,318,90,no,90
556,448,80,no,80
226,214,118,no,118
270,192,100,no,100
344,358,156,no,156
694,376,138,no,138
416,400,181,no,181
758,164,128,no,128
740,146,120,no,120
396,402,155,no,155
372,376,145,no,145
94,306,110,no,110
512,458,103,no,103
550,82,87,no,87
576,464,126,no,126
434,636,117,no,117
502,232,118,no,118
554,226,102,no,102
154,300,115,no,115
566,42,134,no,134
514,28,140,no,140
578,22,156,no,156
772,408,126,no,126
700,212,111,no,111
112,558,92,no,92
76,328,117,no,117
204,170,121,no,121
134,524,134,no,134
550,428,104,no,104
740,226,76,no,76
276,576,78,no,78
774,434,147,no,147
344,490,138,no,138
128,32,122,no,122
364,350,118,no,118
710,452,116,no,116
776,198,138,no,138
146,338,105,no,105
86,30,126,no,126
66,508,142,no,142
120,504,95,no,95
326,52,57,no,57
418,172,114,no,114
344,22,94,no,94
356,442,90,no,90
434,582,110,no,110
282,556,67,no,67
500,274,81,no,81
690,446,75,no,75
534,94,93,no,93
522,282,66,no,66
552,470,63,no,63
576,440,106,no,106
306,12,96,no,96
134,558,97,no,97
382,186,96,no,96
238,148,79,no,79
730,378,76,no,76
802,556,71,no,71
390,160,90,no,90
520,482,87,no,87
232,236,86,no,86
112,174,63,no,63
384,360,116,no,116
384,208,79,no,79
388,112,26,yes,26
92,340,71,no,71
118,578,71,no,71
614,186,34,no,34
126,358,46,no,46
450,620,69,no,69
252,228,52,no,52
644,568,82,no,82
546,292,44,no,44
310,340,84,no,84
608,204,48,no,48
730,464,65,no,65
162,240,42,no,42
460,484,43,no,43
88,50,78,no,78
270,216,57,no,57
716,232,56,no,56
212,126,53,no,53
376,498,79,no,79
220,416,70,no,70
696,170,60,no,60
506,50,80,no,80
484,32,63,no,63
160,210,34,no,34
762,364,57,no,57
398,464,51,no,51
766,246,46,no,46
760,208,67,no,67
462,358,44,no,44
282,232,37,no,37
642,308,61,no,61
358,246,68,no,68
102,478,65,no,65
484,348,34,no,34
380,478,56,no,56
440,532,38,no,38
264,548,38,no,38
628,214,34,no,34
458,312,28,no,28
274,450,70,no,70
564,574,50,no,50
720,124,48,no,48
790,384,45,no,45
246,252,58,no,58
556,552,55,no,55
462,50,41,no,41
436,348,33,no,33
678,140,55,no,55
666,376,47,no,47
