x,y,r (pixel),is_circle,r (um)
392,78,60,yes,60
304,480,41,yes,41
192,524,63,yes,63
412,536,62,yes,62
88,448,48,yes,48
646,568,50,yes,50
700,168,42,yes,42
810,584,55,yes,55
442,186,44,yes,44
732,494,51,yes,51
594,396,41,yes,41
696,72,45,yes,45
236,296,42,yes,42
584,42,40,yes,40
690,396,44,yes,44
734,286,64,yes,64
542,206,46,yes,46
600,296,49,yes,49
130,100,47,yes,47
304,224,43,yes,43
614,132,43,yes,43
398,396,28,yes,28
378,664,56,yes,56
710,288,82,no,82
534,594,57,yes,57
166,372,46,yes,46
430,284,45,yes,45
510,104,46,yes,46
336,312,39,yes,39
444,302,77,no,77
788,160,34,yes,34
820,480,30,yes,30
716,652,49,yes,49
292,130,39,yes,39
518,348,31,yes,31
224,74,37,yes,37
460,414,27,yes,27
640,468,34,yes,34
626,210,30,yes,30
514,282,29,yes,29
190,640,41,yes,41
492,472,39,yes,39
106,256,98,yes,98
318,396,38,yes,38
278,644,33,yes,33
448,354,27,yes,27
764,66,22,yes,22
848,84,58,yes,58
82,550,36,yes,36
748,114,22,yes,22
238,370,38,no,38
530,512,18,yes,18
556,456,32,yes,32
304,568,38,no,38
48,56,32,yes,32
416,442,17,yes,17
370,446,21,yes,21
490,524,18,yes,18
244,164,17,yes,17
726,306,43,no,43
372,212,21,yes,21
364,160,23,yes,23
514,602,36,no,36
598,622,23,yes,23
356,322,48,no,48
638,640,17,yes,17
362,250,17,yes,17
78,148,29,yes,29
314,546,25,no,25
274,78,10,yes,10
168,40,18,yes,18
594,512,18,no,18
224,416,17,no,17
814,214,21,no,21
