x,y,r (pixel),is_circle,r (um)
670,446,145,yes,145
548,116,201,yes,201
402,390,132,yes,132
264,116,109,yes,109
126,338,151,yes,151
242,598,143,yes,143
140,322,130,no,130
564,128,171,no,171
250,574,114,no,114
808,232,109,yes,109
692,460,170,no,170
680,426,123,no,123
650,442,166,no,166
146,348,126,no,126
420,378,118,no,118
542,86,231,no,231
698,440,140,no,140
484,614,117,yes,117
568,150,149,no,149
218,594,150,no,150
628,436,183,no,183
674,470,172,no,172
422,404,157,no,157
380,388,151,no,151
516,116,218,no,218
370,370,164,no,164
166,328,146,no,146
120,364,126,no,126
500,598,98,no,98
96,318,187,no,187
442,380,128,no,128
712,470,191,no,191
298,110,109,no,109
416,358,103,no,103
130,302,188,no,188
564,104,169,no,169
584,98,242,no,242
242,118,124,no,124
280,132,83,no,83
826,222,130,no,130
276,96,84,no,84
632,456,179,no,179
666,412,181,no,181
264,606,165,no,165
166,350,160,no,160
594,118,198,no,198
642,418,179,no,179
510,626,143,no,143
278,588,140,no,140
286,156,154,no,154
76,308,190,no,190
398,368,142,no,142
570,176,124,no,124
702,418,139,no,139
144,376,99,no,99
452,400,154,no,154
160,286,188,no,188
178,310,138,no,138
188,336,152,no,152
156,310,115,no,115
106,296,187,no,187
362,348,172,no,172
520,608,119,no,119
438,360,145,no,145
400,414,107,no,107
832,640,108,no,108
582,136,174,no,174
202,580,170,no,170
728,444,162,no,162
436,418,89,no,89
256,94,86,no,86
168,374,90,no,90
10,162,65,yes,65
618,136,177,no,177
660,506,154,no,154
808,202,73,no,73
204,356,109,no,109
676,492,111,no,111
410,432,104,no,104
256,556,95,no,95
686,404,104,no,104
596,178,111,no,111
130,278,85,no,85
196,376,68,no,68
284,624,72,no,72
516,96,127,no,127
788,222,70,no,70
144,398,76,no,76
464,604,72,no,72
602,448,85,no,85
686,510,101,no,101
466,438,49,no,49
