x,y,r (pixel),is_circle,r (um)
182,460,77,yes,77
654,240,57,yes,57
274,346,65,yes,65
570,162,61,yes,61
72,350,68,yes,68
446,138,68,yes,68
728,560,60,yes,60
788,484,36,yes,36
226,118,70,yes,70
632,406,71,yes,71
394,316,58,yes,58
590,34,73,yes,73
342,550,62,yes,62
582,524,60,yes,60
514,344,60,yes,60
372,210,42,yes,42
176,272,53,yes,53
48,154,77,yes,77
280,664,63,yes,63
346,56,60,yes,60
478,458,55,yes,55
272,224,55,yes,55
166,632,48,yes,48
544,640,61,yes,61
236,564,42,yes,42
222,142,95,no,95
736,416,39,yes,39
84,646,35,yes,35
690,646,35,yes,35
452,468,83,no,83
438,668,48,yes,48
356,404,43,yes,43
26,558,79,yes,79
482,554,41,yes,41
366,628,31,yes,31
468,234,40,yes,40
244,98,96,no,96
542,250,36,yes,36
548,166,81,no,81
298,458,40,yes,40
72,326,76,no,76
156,178,38,yes,38
394,466,30,yes,30
496,354,81,no,81
712,574,80,no,80
562,520,75,no,75
460,568,63,no,63
190,290,74,no,74
74,446,40,yes,40
320,562,83,no,83
160,462,82,no,82
156,258,80,no,80
518,76,25,yes,25
168,352,33,yes,33
106,14,81,yes,81
640,594,36,yes,36
290,330,76,no,76
358,136,30,yes,30
134,538,32,yes,32
364,36,86,no,86
602,304,36,yes,36
642,388,74,no,74
144,118,25,yes,25
644,220,71,no,71
142,614,52,no,52
456,546,40,no,40
248,8,39,yes,39
414,588,25,yes,25
440,380,25,yes,25
562,440,25,yes,25
434,48,28,yes,28
44,240,28,yes,28
488,14,34,yes,34
98,258,30,yes,30
258,362,46,no,46
254,342,45,no,45
264,648,35,no,35
138,466,65,no,65
464,288,20,yes,20
142,644,46,no,46
264,248,37,no,37
304,152,27,yes,27
512,322,38,no,38
420,328,29,no,29
336,522,38,no,38
434,542,21,no,21
418,244,15,yes,15
626,638,12,yes,12
