x,y,r (pixel),is_circle,r (um)
354,348,46,yes,46
782,492,52,yes,52
230,548,68,no,68
226,570,63,no,63
538,444,63,no,63
686,536,61,no,61
636,390,48,no,48
162,364,40,yes,40
264,194,66,no,66
172,220,51,yes,51
112,164,56,no,56
220,296,50,yes,50
608,400,43,no,43
332,348,53,no,53
494,608,63,no,63
682,186,39,yes,39
400,282,34,yes,34
266,130,57,no,57
180,130,46,no,46
594,90,38,yes,38
276,470,51,no,51
796,174,41,yes,41
218,432,39,no,39
500,288,60,no,60
760,614,51,no,51
436,220,53,no,53
510,622,44,yes,44
640,262,39,yes,39
712,524,36,no,36
666,596,25,yes,25
522,150,54,no,54
598,328,40,no,40
160,464,43,no,43
282,40,25,yes,25
452,544,53,no,53
784,300,45,yes,45
404,468,46,no,46
710,422,46,no,46
336,90,36,yes,36
662,546,25,yes,25
216,46,38,yes,38
358,168,34,yes,34
646,484,44,no,44
276,490,42,no,42
378,544,40,no,40
432,346,36,yes,36
806,66,31,yes,31
774,184,51,no,51
502,46,46,no,46
296,480,42,no,42
134,296,33,yes,33
342,604,29,yes,29
588,502,46,no,46
706,298,41,yes,41
354,424,39,no,39
382,32,29,yes,29
72,326,28,no,28
596,626,39,yes,39
152,624,25,yes,25
592,202,32,yes,32
120,94,28,yes,28
516,522,39,no,39
468,488,21,yes,21
266,348,22,yes,22
34,220,41,no,41
106,274,35,no,35
74,174,34,no,34
766,570,34,no,34
734,232,36,no,36
668,424,31,no,31
266,392,25,yes,25
802,484,46,no,46
404,640,23,yes,23
712,82,35,yes,35
368,228,25,yes,25
88,58,24,yes,24
312,556,24,yes,24
394,126,23,yes,23
448,662,18,yes,18
650,124,28,yes,28
102,226,25,yes,25
262,110,40,yes,40
486,34,38,yes,38
164,66,26,yes,26
512,272,38,no,38
222,404,32,no,32
430,84,32,yes,32
524,428,32,no,32
768,100,32,no,32
536,84,26,yes,26
200,494,25,yes,25
86,482,36,no,36
86,430,33,yes,33
350,488,30,yes,30
402,410,25,no,25
734,666,17,yes,17
328,272,28,no,28
420,514,25,no,25
94,370,23,no,23
54,126,32,yes,32
238,360,30,no,30
666,350,25,yes,25
132,452,23,yes,23
542,366,23,yes,23
34,664,26,yes,26
48,400,20,yes,20
496,358,29,yes,29
570,568,25,no,25
292,642,22,yes,22
314,510,16,yes,16
318,406,23,no,23
318,136,22,yes,22
286,264,22,yes,22
740,180,20,yes,20
48,442,14,yes,14
54,550,27,yes,27
734,596,18,yes,18
96,132,18,yes,18
580,254,25,no,25
776,154,29,no,29
180,592,21,yes,21
348,148,28,no,28
834,242,25,yes,25
292,204,23,no,23
74,258,17,yes,17
674,476,23,no,23
740,626,23,no,23
54,300,18,yes,18
388,392,16,yes,16
138,152,18,no,18
76,18,14,yes,14
456,140,23,yes,23
178,452,17,no,17
706,360,16,yes,16
560,420,22,no,22
708,622,16,yes,16
628,164,14,yes,14
