x,y,r (pixel),is_circle,r (um)
162,206,44,yes,44
598,262,44,yes,44
752,250,41,yes,41
654,136,40,yes,40
616,582,40,yes,40
144,378,47,yes,47
792,554,47,yes,47
464,132,47,yes,47
546,404,44,yes,44
640,494,56,yes,56
366,462,40,yes,40
800,70,48,yes,48
144,120,47,yes,47
512,218,44,yes,44
250,554,38,yes,38
510,318,50,yes,50
438,270,38,yes,38
702,568,40,yes,40
752,154,51,yes,51
300,402,49,yes,49
334,188,41,yes,41
530,48,49,yes,49
262,478,41,yes,41
60,340,38,yes,38
60,432,44,yes,44
786,320,34,yes,34
168,568,46,yes,46
124,286,41,yes,41
678,292,40,yes,40
86,212,34,yes,34
408,626,46,yes,46
360,264,40,yes,40
384,544,40,yes,40
622,358,48,yes,48
224,366,34,yes,34
796,474,29,yes,29
96,512,39,yes,39
356,332,31,yes,31
712,436,29,yes,29
172,476,50,yes,50
228,52,50,yes,50
326,588,44,yes,44
468,552,41,yes,41
676,216,40,yes,40
256,208,40,yes,40
712,368,46,yes,46
672,640,37,yes,37
208,258,28,yes,28
412,202,37,yes,37
536,598,34,yes,34
762,640,49,yes,49
712,62,44,yes,44
110,640,43,yes,43
316,520,32,yes,32
46,584,41,yes,41
412,66,34,yes,34
280,296,51,yes,51
224,138,34,yes,34
576,112,33,yes,33
462,410,32,yes,32
730,500,34,yes,34
52,268,29,yes,29
572,170,25,yes,25
38,654,30,yes,30
48,34,46,yes,46
662,408,27,yes,27
628,64,35,yes,35
426,350,41,yes,41
432,488,28,yes,28
500,474,36,yes,36
192,314,27,yes,27
796,384,28,yes,28
352,82,24,yes,24
240,648,60,yes,60
382,128,32,yes,32
82,146,27,yes,27
612,418,23,yes,23
404,400,22,yes,22
304,60,28,yes,28
844,262,44,yes,44
328,122,22,yes,22
272,100,20,yes,20
548,526,45,no,45
852,170,47,yes,47
764,428,26,yes,26
226,422,25,yes,25
86,88,23,yes,23
286,146,24,yes,24
590,666,42,yes,42
664,14,26,yes,26
524,108,21,yes,21
616,192,28,yes,28
558,468,19,yes,19
332,666,33,yes,33
468,62,20,yes,20
120,54,25,yes,25
310,248,16,yes,16
480,608,25,yes,25
688,582,47,no,47
532,320,54,no,54
514,658,32,yes,32
40,108,25,yes,25
18,508,32,yes,32
810,124,18,yes,18
