x,y,r (pixel),is_circle,r (um)
326,542,162,yes,162
542,316,153,yes,153
250,240,158,yes,158
526,302,151,no,151
230,240,170,no,170
268,218,128,no,128
210,250,194,no,194
650,596,168,no,168
452,80,105,yes,105
112,454,99,yes,99
348,528,137,no,137
556,280,110,no,110
640,572,138,yes,138
290,216,214,no,214
308,548,181,no,181
734,62,165,yes,165
560,328,174,no,174
510,320,147,no,147
278,244,192,no,192
572,298,188,no,188
474,312,199,no,199
324,522,153,no,153
366,518,117,no,117
506,274,186,no,186
352,556,134,no,134
474,80,79,no,79
126,436,64,no,64
266,260,170,no,170
302,246,212,no,212
656,558,116,no,116
114,652,82,no,82
284,194,102,no,102
12,272,85,yes,85
246,212,157,no,157
366,538,133,no,133
230,190,148,no,148
50,66,107,yes,107
368,578,118,no,118
576,340,94,no,94
144,422,65,no,65
130,638,61,no,61
132,464,68,no,68
352,498,92,no,92
394,522,97,no,97
264,198,96,no,96
270,508,97,no,97
90,640,56,no,56
314,214,83,no,83
152,452,53,no,53
102,430,43,no,43
28,256,63,no,63
174,428,40,no,40
