x,y,r (pixel),is_circle,r (um)
298,152,113,yes,113
330,230,230,no,230
550,512,114,yes,114
332,550,89,yes,89
290,362,75,yes,75
638,226,92,yes,92
152,478,82,yes,82
492,498,199,no,199
460,310,78,no,78
494,144,58,yes,58
516,496,188,no,188
802,70,110,yes,110
312,134,133,no,133
256,178,177,no,177
280,196,179,no,179
496,478,208,no,208
592,30,82,yes,82
518,516,168,no,168
524,536,148,no,148
188,642,64,yes,64
568,522,133,no,133
274,142,138,no,138
340,210,208,no,208
318,214,203,no,203
700,380,60,yes,60
782,286,50,yes,50
592,542,164,no,164
470,290,120,no,120
258,158,187,no,187
156,458,125,no,125
596,498,186,no,186
548,448,201,no,201
560,494,142,no,142
156,278,68,yes,68
514,452,240,no,240
306,546,108,no,108
546,534,133,no,133
314,184,149,no,149
598,562,184,no,184
258,204,164,no,164
328,166,137,no,137
336,144,124,no,124
182,470,134,no,134
320,114,113,no,113
640,250,134,no,134
524,476,187,no,187
166,502,125,no,125
256,122,164,no,164
278,166,138,no,138
658,234,114,no,114
536,496,158,no,158
352,524,121,no,121
4,632,95,yes,95
292,230,174,no,174
806,540,38,yes,38
562,464,187,no,187
618,220,111,no,111
318,364,120,no,120
720,498,44,yes,44
420,292,121,no,121
574,20,102,no,102
282,124,147,no,147
132,472,102,no,102
304,342,99,no,99
472,264,144,no,144
352,546,137,no,137
618,242,118,no,118
310,570,114,no,114
270,352,96,no,96
628,200,68,no,68
620,478,182,no,182
206,458,160,no,160
512,552,149,no,149
582,342,37,yes,37
362,166,168,no,168
620,506,177,no,177
580,472,166,no,166
144,502,108,no,108
298,172,125,no,125
566,544,117,no,117
654,214,113,no,113
592,218,150,no,150
298,586,149,no,149
172,442,121,no,121
718,356,68,no,68
436,320,108,no,108
190,230,87,no,87
184,256,76,no,76
418,336,133,no,133
158,256,52,no,52
444,288,105,no,105
292,560,124,no,124
348,574,109,no,109
508,128,70,no,70
490,302,103,no,103
332,382,122,no,122
176,422,114,no,114
266,372,102,no,102
572,568,93,no,93
678,396,83,no,83
300,380,68,no,68
490,282,93,no,93
660,184,109,no,109
626,264,122,no,122
350,128,128,no,128
438,24,58,yes,58
294,106,92,no,92
170,238,74,no,74
322,526,64,no,64
544,558,125,no,125
492,574,109,no,109
612,26,103,no,103
184,282,89,no,89
724,394,87,no,87
678,376,79,no,79
794,270,56,no,56
156,102,53,yes,53
336,188,106,no,106
474,138,76,no,76
852,404,70,no,70
136,450,66,no,66
696,354,88,no,88
546,476,82,no,82
600,196,98,no,98
302,526,108,no,108
206,482,72,no,72
442,630,45,yes,45
148,234,86,no,86
284,338,55,no,55
848,210,36,yes,36
420,270,97,no,97
236,162,70,no,70
604,46,63,no,63
768,300,60,no,60
324,334,92,no,92
204,200,38,no,38
596,592,61,no,61
124,496,50,no,50
510,158,61,no,61
596,252,43,no,43
564,40,70,no,70
330,72,69,no,69
208,638,45,no,45
86,368,12,no,12
576,588,73,no,73
182,178,54,no,54
618,548,73,no,73
272,106,61,no,61
128,350,49,no,49
226,214,30,no,30
458,640,25,no,25
144,294,34,no,34
746,336,32,no,32
690,222,62,no,62
458,18,57,no,57
168,82,44,no,44
476,158,36,no,36
372,314,29,no,29
