x,y,r (pixel),is_circle,r (um)
334,302,129,yes,194.79
734,108,96,yes,144.96
104,138,84,yes,126.84
780,320,110,yes,166.1
568,230,101,yes,152.51
342,534,109,yes,164.59
442,76,95,yes,143.45
576,568,100,yes,151.0
334,282,108,no,163.08
150,436,109,yes,164.59
628,396,61,yes,92.11
746,494,74,yes,111.74
482,406,63,yes,95.13
272,106,66,yes,99.66
554,546,138,no,208.38
570,250,124,no,187.24
592,46,61,yes,92.11
562,494,181,no,273.31
352,314,140,no,211.4
122,156,109,no,164.59
122,126,99,no,149.49
590,584,121,no,182.71
586,214,127,no,191.77
342,514,95,no,143.45
574,548,81,no,122.31
590,248,129,no,194.79
148,416,90,no,135.9
128,430,113,no,170.63
362,544,123,no,185.73
594,546,116,no,175.16
344,254,139,no,209.89000000000001
722,88,89,no,134.39000000000001
52,598,84,yes,126.84
190,574,68,no,102.68
98,158,104,no,157.04
770,302,90,no,135.9
168,258,45,yes,67.95
312,302,137,no,206.87
548,218,117,no,176.67
360,498,118,no,178.18
248,108,96,no,144.96
134,454,128,no,193.28
538,568,122,no,184.22
354,272,120,no,181.2
742,86,69,no,104.19
306,536,148,no,223.48
164,454,131,no,197.81
766,510,97,no,146.47
86,126,107,no,161.57
314,274,129,no,194.79
542,522,132,no,199.32
756,108,110,no,166.1
754,474,89,no,134.39000000000001
334,492,109,no,164.59
714,110,117,no,176.67
734,476,86,no,129.86
746,514,78,no,117.78
498,422,85,no,128.35
644,408,80,no,120.8
296,100,80,no,120.8
726,502,114,no,172.14000000000001
284,124,85,no,128.35
326,322,108,no,163.08
454,54,91,no,137.41
730,660,70,yes,105.7
652,388,100,no,151.0
146,110,108,no,163.08
788,282,116,no,175.16
548,240,81,no,122.31
492,386,80,no,120.8
296,78,78,no,117.78
210,580,70,no,105.7
562,584,90,no,135.9
186,242,51,no,77.01
322,512,73,no,110.23
440,616,57,no,86.07000000000001
318,8,41,yes,61.910000000000004
566,274,88,no,132.88
264,126,61,no,92.11
98,110,60,no,90.6
608,260,80,no,120.8
