x,y,r (pixel),is_circle,r (um)
462,462,109,yes,109
596,306,101,yes,101
164,534,103,yes,103
272,312,141,yes,141
588,108,105,yes,105
342,88,116,yes,116
140,530,114,no,114
620,312,105,no,105
748,206,81,yes,81
458,222,75,yes,75
66,174,125,yes,125
330,68,111,no,111
582,88,96,no,96
642,322,128,no,128
458,442,126,no,126
600,286,114,no,114
714,206,96,no,96
360,68,111,no,111
562,96,110,no,110
426,458,136,no,136
84,168,105,no,105
706,184,130,no,130
730,188,105,no,105
478,446,132,no,132
508,466,134,no,134
136,510,140,no,140
766,184,112,no,112
604,132,131,no,131
442,428,94,no,94
292,310,127,no,127
578,62,123,no,123
560,72,110,no,110
436,212,81,no,81
188,538,113,no,113
322,90,108,no,108
178,518,96,no,96
728,220,77,no,77
160,510,108,no,108
566,128,126,no,126
770,218,116,no,116
602,86,103,no,103
576,316,110,no,110
444,476,87,no,87
346,108,106,no,106
480,472,113,no,113
202,350,144,no,144
476,236,98,no,98
462,490,82,no,82
306,466,41,yes,41
618,112,82,no,82
602,330,80,no,80
114,310,46,yes,46
74,136,134,no,134
438,324,46,yes,46
380,70,97,no,97
302,82,88,no,88
744,8,52,yes,52
632,294,73,no,73
336,132,71,no,71
700,222,55,no,55
302,488,29,no,29
740,284,27,yes,27
794,226,33,no,33
