x,y,r (pixel),is_circle,r (um)
756,458,79,yes,79
516,462,74,yes,74
538,592,65,yes,65
250,272,89,yes,89
720,308,80,yes,80
404,112,113,no,113
424,304,89,yes,89
244,106,89,yes,89
576,290,71,yes,71
272,260,106,no,106
364,490,47,yes,47
402,144,82,yes,82
380,134,107,no,107
630,398,58,yes,58
404,292,110,no,110
88,428,72,no,72
762,154,88,yes,88
98,326,78,yes,78
242,418,90,no,90
282,538,49,no,49
228,94,72,no,72
510,440,102,no,102
252,74,73,no,73
72,448,50,yes,50
84,146,85,no,85
634,514,63,yes,63
132,46,45,yes,45
658,204,45,yes,45
500,194,38,yes,38
240,254,70,no,70
702,34,29,yes,29
424,408,40,yes,40
438,544,52,yes,52
582,68,66,no,66
576,268,48,no,48
152,448,40,yes,40
274,518,62,no,62
372,38,22,yes,22
348,404,27,yes,27
760,106,45,no,45
148,240,22,yes,22
180,180,27,yes,27
160,386,19,no,19
356,558,25,no,25
