x,y,r (pixel),is_circle,r (um)
336,78,76,yes,76
364,410,57,yes,57
526,162,54,yes,54
150,114,55,yes,55
632,188,52,yes,52
806,316,54,yes,54
446,314,56,yes,56
98,496,50,yes,50
678,292,68,no,68
620,640,56,yes,56
422,526,71,yes,71
150,414,50,yes,50
654,392,43,yes,43
556,274,62,yes,62
696,300,81,no,81
244,156,50,yes,50
528,580,58,yes,58
160,224,52,yes,52
290,236,42,yes,42
552,296,97,no,97
228,334,71,yes,71
770,556,65,yes,65
90,608,55,no,55
270,570,46,yes,46
436,216,45,yes,45
438,132,43,yes,43
546,478,49,yes,49
734,374,40,yes,40
764,580,88,no,88
276,462,66,no,66
350,392,83,no,83
814,424,54,yes,54
186,532,48,yes,48
354,610,46,yes,46
212,316,94,no,94
470,416,51,yes,51
98,346,42,yes,42
556,384,54,no,54
448,616,36,yes,36
538,266,81,no,81
660,304,70,no,70
88,178,40,yes,40
500,160,76,no,76
756,196,70,no,70
660,268,88,no,88
462,40,54,yes,54
774,208,48,yes,48
638,98,36,yes,36
518,558,76,no,76
258,448,44,no,44
240,310,72,no,72
748,540,77,no,77
254,174,70,no,70
452,400,74,no,74
342,304,48,yes,48
522,140,72,no,72
666,558,47,no,47
602,530,36,yes,36
82,268,62,no,62
636,480,48,no,48
324,512,36,yes,36
476,308,60,no,60
352,60,84,no,84
638,366,70,no,70
426,504,68,no,68
606,438,27,yes,27
60,264,58,no,58
710,438,29,yes,29
338,280,70,no,70
356,186,43,yes,43
96,576,74,no,74
708,144,36,yes,36
602,630,64,no,64
442,516,62,no,62
148,298,27,yes,27
106,248,70,no,70
54,104,43,yes,43
754,472,30,yes,30
418,206,62,no,62
196,618,42,yes,42
354,102,46,no,46
590,510,48,no,48
302,350,22,yes,22
666,470,38,no,38
158,670,28,yes,28
240,68,32,yes,32
722,48,70,yes,70
82,22,46,yes,46
232,222,22,yes,22
812,646,34,yes,34
460,330,40,no,40
708,492,33,no,33
368,430,29,no,29
576,22,63,yes,63
82,590,35,no,35
762,122,39,no,39
626,620,36,no,36
522,74,24,yes,24
786,570,36,no,36
36,420,30,no,30
382,234,18,yes,18
396,508,38,no,38
498,226,24,yes,24
538,182,37,no,37
660,606,40,no,40
250,358,39,no,39
542,598,32,no,32
578,102,25,yes,25
610,328,24,yes,24
678,612,22,no,22
486,470,18,yes,18
282,590,29,no,29
370,626,29,no,29
668,172,26,no,26
558,152,24,no,24
134,484,23,no,23
270,656,28,no,28
312,64,54,no,54
520,390,34,no,34
268,324,29,no,29
716,272,29,no,29
430,372,17,yes,17
646,412,29,no,29
150,40,22,yes,22
232,430,36,no,36
748,220,33,no,33
654,494,27,no,27
260,14,18,yes,18
314,182,12,yes,12
430,548,32,no,32
714,602,28,no,28
354,320,27,no,27
396,394,25,no,25
590,368,17,no,17
472,508,31,no,31
196,552,30,no,30
28,338,28,no,28
534,450,27,no,27
822,332,26,no,26
190,462,22,yes,22
684,546,16,no,16
14,542,29,no,29
170,516,28,no,28
424,442,25,no,25
378,602,22,no,22
