x,y,r (pixel),is_circle,r (um)
282,206,85,yes,85
410,402,158,yes,158
630,436,78,yes,78
654,276,88,yes,88
536,624,115,yes,115
308,594,88,yes,88
646,88,94,yes,94
516,194,69,yes,69
124,86,97,yes,97
156,522,75,yes,75
128,250,79,yes,79
402,106,66,yes,66
406,380,153,no,153
390,396,159,no,159
280,58,57,yes,57
774,522,79,yes,79
432,396,161,no,161
848,106,104,yes,104
202,372,69,yes,69
136,70,116,no,116
26,392,98,yes,98
14,560,75,yes,75
272,180,99,no,99
674,276,100,no,100
404,216,43,yes,43
294,188,84,no,84
266,222,101,no,101
446,380,118,no,118
356,130,129,no,129
324,220,120,no,120
134,672,77,yes,77
338,150,141,no,141
670,98,117,no,117
382,110,90,no,90
116,226,104,no,104
106,78,117,no,117
626,268,109,no,109
146,238,100,no,100
622,416,115,no,115
392,86,83,no,83
298,220,104,no,104
690,244,123,no,123
318,176,120,no,120
174,504,100,no,100
506,174,101,no,101
652,256,80,no,80
294,42,87,no,87
286,590,92,no,92
146,504,87,no,87
426,420,109,no,109
628,80,114,no,114
610,440,101,no,101
294,614,111,no,111
222,390,98,no,98
724,344,34,yes,34
770,502,86,no,86
684,576,34,yes,34
328,604,66,no,66
258,198,60,no,60
112,102,75,no,75
534,184,78,no,78
292,74,50,no,50
658,298,63,no,63
628,292,46,no,46
