x,y,r (pixel),is_circle,r (um)
422,548,14,yes,14
116,296,17,yes,17
140,488,18,yes,18
696,104,19,yes,19
264,528,19,yes,19
462,164,20,yes,20
680,288,20,yes,20
658,606,20,yes,20
428,402,20,yes,20
626,648,21,yes,21
556,546,21,yes,21
390,224,22,no,22
90,424,23,yes,23
228,660,23,no,23
128,104,23,no,23
746,612,25,yes,25
68,242,25,no,25
308,340,27,yes,27
114,78,27,yes,27
4,310,27,yes,27
674,4,28,yes,28
490,120,29,yes,29
24,414,30,yes,30
840,44,30,no,30
440,72,31,yes,31
746,508,32,no,32
2,604,32,no,32
416,194,35,yes,35
578,218,35,no,35
818,108,35,no,35
172,646,36,yes,36
78,128,37,yes,37
642,186,38,yes,38
162,312,39,yes,39
126,246,39,yes,39
496,416,40,yes,40
792,658,40,yes,40
310,656,40,no,40
126,590,41,yes,41
630,270,41,yes,41
238,138,42,yes,42
730,166,43,yes,43
334,674,43,yes,43
842,274,44,yes,44
240,608,45,yes,45
362,384,47,yes,47
68,46,47,yes,47
314,78,48,yes,48
816,186,48,yes,48
738,464,49,yes,49
638,80,50,yes,50
340,176,50,yes,50
414,478,51,yes,51
174,436,52,yes,52
806,370,52,yes,52
456,334,52,yes,52
528,56,52,yes,52
812,666,53,no,53
838,444,53,no,53
694,670,54,yes,54
96,670,54,no,54
388,18,55,yes,55
528,670,56,yes,56
294,464,56,yes,56
676,364,57,yes,57
756,64,58,yes,58
332,568,58,yes,58
66,510,59,no,59
838,192,60,no,60
6,274,62,no,62
716,676,63,no,63
230,246,65,yes,65
184,44,70,yes,70
830,564,71,yes,71
506,674,74,no,74
606,486,76,yes,76
2,234,80,no,80
812,396,87,no,87
776,30,101,no,101
18,518,103,no,103
844,580,105,no,105
846,604,114,no,114
4,90,119,no,119
520,20,172,no,172
