x,y,r (pixel),is_circle,r (um)
380,372,181,yes,181
802,186,172,yes,172
72,420,126,yes,126
118,100,176,no,176
96,90,216,yes,216
448,30,174,yes,174
392,390,202,no,202
468,408,276,no,276
398,354,136,no,136
440,424,260,no,260
450,50,151,no,151
350,390,196,no,196
684,466,136,yes,136
438,394,242,no,242
356,360,205,no,205
396,418,229,no,229
80,74,238,no,238
674,486,158,no,158
228,446,237,no,237
500,676,134,yes,134
412,396,221,no,221
470,34,176,no,176
410,434,249,no,249
220,616,115,yes,115
424,352,234,no,234
782,174,150,no,150
708,446,107,no,107
458,442,241,no,241
364,406,200,no,200
702,484,145,no,145
424,20,200,no,200
684,442,123,no,123
420,454,230,no,230
398,334,136,no,136
94,408,100,no,100
238,604,91,no,91
422,332,238,no,238
338,410,218,no,218
402,374,202,no,202
336,344,230,no,230
618,500,184,no,184
112,120,182,no,182
782,146,206,no,206
378,444,238,no,238
826,202,200,no,200
454,380,176,no,176
358,448,228,no,228
582,234,79,yes,79
730,460,181,no,181
624,520,162,no,162
372,346,154,no,154
140,102,153,no,153
78,40,268,no,268
402,18,222,no,222
436,296,198,no,198
754,460,205,no,205
462,358,193,no,193
656,502,172,no,172
486,18,198,no,198
446,274,197,no,197
52,442,168,no,168
78,114,217,no,217
726,494,156,no,156
688,506,166,no,166
646,456,154,no,154
96,446,136,no,136
328,364,228,no,228
724,434,99,no,99
682,528,190,no,190
438,370,180,no,180
660,436,154,no,154
840,224,225,no,225
50,408,150,no,150
140,126,142,no,142
378,322,114,no,114
476,388,204,no,204
68,592,50,yes,50
522,664,111,no,111
602,520,163,no,163
696,426,96,no,96
168,164,163,no,163
666,412,154,no,154
442,342,174,no,174
502,656,117,no,117
778,206,141,no,141
618,228,117,no,117
478,662,109,no,109
822,168,199,no,199
464,314,193,no,193
120,458,157,no,157
388,302,146,no,146
820,226,214,no,214
434,64,166,no,166
240,566,116,no,116
64,86,220,no,220
752,236,212,no,212
348,322,122,no,122
262,602,82,no,82
498,300,157,no,157
566,272,121,no,121
410,312,112,no,112
196,606,140,no,140
468,118,116,no,116
404,468,111,no,111
132,184,183,no,183
156,142,141,no,141
514,640,97,no,97
86,384,87,no,87
640,536,141,no,141
640,436,135,no,135
630,554,133,no,133
116,426,132,no,132
802,162,122,no,122
498,36,124,no,124
418,416,103,no,103
624,450,123,no,123
326,322,108,no,108
252,584,99,no,99
212,590,94,no,94
594,254,87,no,87
592,212,53,no,53
484,316,147,no,147
242,624,93,no,93
578,300,81,no,81
396,42,187,no,187
614,540,142,no,142
160,94,133,no,133
364,302,90,no,90
826,246,202,no,202
222,144,142,no,142
538,582,102,no,102
784,124,86,no,86
262,630,127,no,127
540,248,108,no,108
196,98,97,no,97
714,414,78,no,78
522,116,115,no,115
494,604,81,no,81
572,216,72,no,72
178,118,128,no,128
584,534,124,no,124
492,636,96,no,96
694,406,76,no,76
468,616,67,no,67
72,400,123,no,123
576,452,112,no,112
300,322,87,no,87
540,74,73,no,73
282,616,131,no,131
542,286,110,no,110
644,476,94,no,94
366,142,86,no,86
808,136,96,no,96
458,662,90,no,90
468,642,82,no,82
516,606,78,no,78
506,56,103,no,103
388,118,116,no,116
94,500,104,no,104
686,588,71,no,71
632,580,103,no,103
350,276,61,no,61
602,318,70,no,70
550,386,58,no,58
88,578,46,no,46
372,278,72,no,72
310,188,46,no,46
502,90,87,no,87
66,484,83,no,83
94,556,63,no,63
480,438,59,no,59
308,352,123,no,123
418,284,82,no,82
420,82,107,no,107
430,474,97,no,97
434,498,73,no,73
344,302,69,no,69
776,106,67,no,67
438,622,53,no,53
60,358,60,no,60
760,134,105,no,105
680,392,72,no,72
748,480,57,no,57
616,354,29,no,29
530,46,91,no,91
416,512,70,no,70
324,298,60,no,60
564,432,58,no,58
328,274,46,no,46
570,362,20,no,20
248,472,71,no,71
536,620,68,no,68
752,582,51,no,51
644,322,38,no,38
226,98,96,no,96
586,476,88,no,88
662,570,60,no,60
222,556,56,no,56
552,414,44,no,44
660,382,44,no,44
256,262,43,no,43
502,164,72,no,72
558,492,69,no,69
542,94,61,no,61
500,582,58,no,58
362,254,43,no,43
150,538,37,no,37
278,254,30,no,30
208,116,84,no,84
390,548,56,no,56
528,494,55,no,55
224,318,46,no,46
576,192,42,no,42
808,526,35,no,35
168,72,118,no,118
822,656,81,no,81
192,190,81,no,81
108,478,60,no,60
272,492,77,no,77
738,412,73,no,73
268,466,61,no,61
158,464,43,no,43
518,518,40,no,40
672,640,39,no,39
