x,y,r (pixel),is_circle,r (um)
508,274,85,yes,85
760,142,55,yes,55
166,152,58,yes,58
376,64,57,yes,57
118,364,58,yes,58
474,576,68,yes,68
216,616,63,yes,63
522,434,63,yes,63
726,276,67,yes,67
600,584,58,yes,58
388,188,53,yes,53
374,304,50,yes,50
758,508,62,yes,62
468,116,40,yes,40
288,390,58,yes,58
392,450,54,yes,54
718,400,44,yes,44
278,152,52,yes,52
638,474,51,yes,51
242,30,70,yes,70
222,284,60,yes,60
190,474,60,yes,60
580,84,43,yes,43
496,10,61,yes,61
536,154,31,yes,31
126,48,40,yes,40
626,360,54,yes,54
40,200,61,yes,61
304,492,44,yes,44
26,304,38,yes,38
316,238,34,yes,34
534,280,101,no,101
808,358,42,no,42
132,250,38,yes,38
650,144,58,yes,58
770,638,49,yes,49
72,104,29,yes,29
336,640,44,yes,44
624,256,35,yes,35
456,586,87,no,87
704,272,88,no,88
602,184,36,yes,36
360,548,38,yes,38
442,364,34,yes,34
360,270,87,no,87
496,588,95,no,95
676,34,54,yes,54
356,74,78,no,78
4,556,56,yes,56
266,216,20,yes,20
310,388,80,no,80
96,630,46,yes,46
262,164,72,no,72
102,538,41,yes,41
688,586,38,yes,38
520,258,95,no,95
238,302,82,no,82
176,490,81,no,81
488,560,86,no,86
146,142,79,no,79
268,376,77,no,77
370,200,74,no,74
324,364,89,no,89
676,184,39,yes,39
466,182,24,yes,24
488,258,102,no,102
502,240,112,no,112
104,380,84,no,84
202,372,27,yes,27
208,486,79,no,79
400,204,83,no,83
370,170,82,no,82
94,456,40,no,40
294,372,66,no,66
378,560,56,no,56
384,430,78,no,78
368,442,80,no,80
650,490,69,no,69
298,306,26,yes,26
468,554,49,no,49
578,488,17,yes,17
536,674,40,no,40
404,174,74,no,74
584,192,32,no,32
508,448,64,no,64
664,164,34,no,34
18,32,56,no,56
64,502,16,yes,16
116,342,42,no,42
80,270,16,yes,16
606,16,16,yes,16
660,122,49,no,49
614,162,18,no,18
462,258,49,no,49
224,598,56,no,56
632,126,34,no,34
30,478,20,yes,20
206,298,53,no,53
