x,y,r (pixel),is_circle,r (um)
522,136,46,yes,46
498,420,64,yes,64
602,200,56,yes,56
828,338,57,yes,57
570,308,63,yes,63
732,334,36,yes,36
468,602,34,yes,34
740,156,47,yes,47
762,52,53,yes,53
358,624,71,no,71
608,44,46,yes,46
336,316,61,yes,61
418,526,56,yes,56
718,480,34,yes,34
412,42,39,yes,39
290,506,53,yes,53
472,310,40,yes,40
630,540,44,yes,44
100,138,49,yes,49
364,196,47,yes,47
652,118,41,yes,41
200,184,63,no,63
496,226,51,yes,51
156,634,39,yes,39
756,408,44,yes,44
640,408,59,no,59
370,418,56,yes,56
244,626,40,yes,40
220,430,39,yes,39
554,574,47,yes,47
668,244,29,yes,29
166,274,47,yes,47
300,128,52,yes,52
58,254,51,yes,51
786,584,49,yes,49
432,166,37,yes,37
186,556,41,yes,41
726,228,32,yes,32
454,102,29,yes,29
172,354,30,yes,30
388,114,41,yes,41
554,492,32,yes,32
658,316,31,yes,31
678,636,39,yes,39
680,30,34,yes,34
796,212,30,yes,30
710,552,43,yes,43
512,40,51,yes,51
240,302,40,yes,40
506,528,30,yes,30
404,342,27,yes,27
274,360,25,yes,25
298,410,33,yes,33
746,274,23,yes,23
338,638,46,no,46
78,374,20,yes,20
424,248,36,yes,36
