x,y,r (pixel),is_circle,r (um)
584,190,41,yes,41
344,330,41,yes,41
298,256,48,yes,48
728,594,46,yes,46
212,238,34,yes,34
476,132,45,yes,45
442,220,52,yes,52
312,478,35,yes,35
760,176,34,yes,34
442,316,46,yes,46
584,318,36,yes,36
494,398,53,yes,53
540,502,52,yes,52
608,116,37,yes,37
254,64,57,yes,57
422,478,39,yes,39
368,164,42,yes,42
336,84,45,yes,45
422,384,58,no,58
694,250,31,yes,31
130,614,30,yes,30
754,402,38,yes,38
824,466,44,yes,44
662,80,29,yes,29
252,442,26,yes,26
50,114,32,yes,32
618,388,31,yes,31
756,518,33,yes,33
40,198,27,yes,27
716,482,68,no,68
476,56,32,yes,32
682,504,51,no,51
518,318,32,yes,32
134,330,26,yes,26
248,572,38,yes,38
534,28,33,yes,33
408,104,30,yes,30
640,246,24,yes,24
696,436,38,no,38
156,276,25,yes,25
672,482,53,no,53
162,466,33,yes,33
190,580,32,yes,32
180,112,23,yes,23
708,328,22,yes,22
818,266,55,no,55
26,364,35,yes,35
678,380,32,yes,32
642,338,26,yes,26
808,94,26,yes,26
384,602,36,yes,36
566,438,33,yes,33
280,638,29,yes,29
776,334,17,yes,17
202,294,26,yes,26
762,458,49,no,49
150,516,22,yes,22
130,4,23,yes,23
386,254,20,yes,20
78,482,18,yes,18
514,380,48,no,48
538,96,26,yes,26
632,476,25,yes,25
136,190,22,yes,22
650,288,13,yes,13
152,150,24,yes,24
274,60,58,no,58
566,490,51,no,51
342,516,23,yes,23
618,54,26,yes,26
200,504,25,yes,25
752,228,23,yes,23
380,20,33,yes,33
810,218,27,yes,27
560,510,46,no,46
398,386,44,no,44
734,572,23,no,23
38,48,12,yes,12
318,256,46,no,46
448,608,13,yes,13
178,402,13,yes,13
632,524,20,yes,20
64,164,17,yes,17
636,654,11,yes,11
286,238,24,no,24
724,202,17,yes,17
734,264,21,yes,21
198,184,20,yes,20
