x,y,r (pixel),is_circle,r (um)
408,382,178,yes,138.84
640,526,114,yes,88.92
404,358,149,no,116.22
350,92,118,yes,92.04
76,498,156,no,121.68
430,386,187,no,145.86
388,370,159,no,124.02000000000001
640,506,93,no,72.54
366,346,179,no,139.62
332,618,95,yes,74.10000000000001
350,330,206,no,160.68
408,402,193,no,150.54
172,296,68,yes,53.04
360,70,142,no,110.76
426,356,148,no,115.44
446,402,210,no,163.8
366,388,221,no,172.38
50,56,157,no,122.46000000000001
98,476,127,no,99.06
328,78,117,no,91.26
394,338,127,no,99.06
496,604,68,yes,53.04
68,70,181,yes,141.18
612,506,118,no,92.04
70,90,164,no,127.92
660,534,131,no,102.18
448,378,194,no,151.32
414,336,150,no,117.0
322,100,148,no,115.44
348,598,69,no,53.82
192,292,75,no,58.5
104,102,134,no,104.52000000000001
368,366,121,no,94.38000000000001
160,264,75,no,58.5
628,482,72,no,56.160000000000004
376,326,107,no,83.46000000000001
518,596,77,no,60.06
112,136,102,no,79.56
352,624,95,no,74.10000000000001
156,284,74,no,57.72
88,76,118,no,92.04
176,274,52,no,40.56
60,260,54,no,42.120000000000005
