x,y,r (pixel),is_circle,r (um)
496,452,70,yes,70
400,162,72,yes,72
740,250,70,yes,70
186,144,65,yes,65
690,80,73,yes,73
92,210,53,yes,53
344,510,68,yes,68
610,354,76,yes,76
538,590,59,yes,59
632,470,49,yes,49
528,238,77,yes,77
362,36,57,yes,57
244,596,65,yes,65
268,276,52,yes,52
188,464,67,yes,67
370,376,44,yes,44
376,506,99,no,99
110,640,80,yes,80
224,6,66,yes,66
576,112,50,yes,50
132,342,54,yes,54
632,346,99,no,99
852,116,68,yes,68
506,240,67,no,67
94,440,39,yes,39
472,456,90,no,90
370,286,41,yes,41
760,500,38,yes,38
762,390,38,yes,38
332,492,88,no,88
412,146,55,no,55
516,444,91,no,91
330,624,34,yes,34
414,638,35,yes,35
834,462,48,yes,48
168,132,84,no,84
232,580,75,no,75
118,620,58,no,58
54,534,51,no,51
176,448,84,no,84
60,40,56,no,56
712,80,76,no,76
214,462,67,no,67
356,494,52,no,52
374,164,99,no,99
636,322,86,no,86
714,252,91,no,91
200,444,46,no,46
546,572,41,no,41
154,342,62,no,62
412,182,50,no,50
260,582,53,no,53
118,196,53,no,53
568,92,70,no,70
760,246,72,no,72
430,546,29,no,29
628,366,54,no,54
356,528,42,no,42
282,398,54,no,54
704,100,47,no,47
506,470,44,no,44
144,360,41,no,41
206,152,49,no,49
140,638,46,no,46
180,262,38,yes,38
670,78,76,no,76
538,256,44,no,44
202,482,38,no,38
534,214,53,no,53
700,62,54,no,54
138,50,20,yes,20
388,142,50,no,50
260,610,38,no,38
750,268,44,no,44
288,266,33,no,33
210,354,31,no,31
66,144,21,yes,21
366,668,23,yes,23
286,290,29,no,29
426,164,49,no,49
426,308,17,yes,17
38,38,36,no,36
484,436,50,no,50
558,594,40,no,40
392,370,27,no,27
272,380,34,no,34
62,516,28,no,28
