x,y,r (pixel),is_circle,r (um)
506,466,43,yes,43
636,504,45,yes,45
760,50,48,yes,48
588,430,44,yes,44
660,88,56,yes,56
212,602,48,yes,48
636,572,30,yes,30
284,388,55,yes,55
334,176,52,yes,52
270,96,40,yes,40
584,46,39,yes,39
764,414,37,yes,37
76,126,53,yes,53
504,262,31,yes,31
200,318,47,yes,47
334,484,53,yes,53
130,390,48,yes,48
440,612,53,yes,53
570,278,41,yes,41
548,564,61,yes,61
182,124,49,yes,49
426,494,40,yes,40
620,346,46,yes,46
362,278,62,yes,62
520,366,50,yes,50
682,426,46,yes,46
46,228,49,yes,49
384,544,30,yes,30
404,400,65,yes,65
534,202,41,yes,41
280,302,33,yes,33
802,232,39,yes,39
734,194,39,yes,39
450,218,48,yes,48
814,366,33,yes,33
800,562,30,yes,30
218,496,68,yes,68
16,322,42,yes,42
620,482,62,no,62
812,150,43,yes,43
124,464,36,yes,36
306,580,46,yes,46
450,298,36,yes,36
694,582,28,yes,28
138,258,42,yes,42
736,116,36,no,36
404,134,27,yes,27
60,484,33,yes,33
438,10,34,yes,34
94,536,26,yes,26
