index,x,y,r (pixel),is_circle,r (um),probability
57,574,10,31,yes,31,0.5981308411214953
27,786,168,23,yes,23,0.5390625
5,484,62,15,yes,15,0.5357142857142857
100,180,652,55,yes,55,0.5203619909502263
14,650,108,18,yes,18,0.52
23,836,170,21,yes,21,0.5056179775280899
19,24,214,19,yes,19,0.49038461538461536
24,704,30,22,yes,22,0.47580645161290325
42,272,242,28,yes,28,0.47435897435897434
9,208,162,16,yes,16,0.4659090909090909
13,392,602,18,yes,18,0.46
30,214,22,24,no,24,0.453781512605042
48,78,216,29,yes,29,0.4329268292682927
32,336,44,25,yes,25,0.42142857142857143
43,354,218,28,yes,28,0.4166666666666667
37,852,350,26,yes,26,0.4084507042253521
45,32,108,28,yes,28,0.40384615384615385
82,508,206,42,yes,42,0.4025423728813559
29,354,168,24,yes,24,0.4015151515151515
68,264,48,34,yes,34,0.3958333333333333
99,632,208,51,yes,51,0.375
90,810,278,47,yes,47,0.3665158371040724
21,230,396,20,yes,20,0.36607142857142855
33,518,44,25,yes,25,0.36428571428571427
50,70,342,29,yes,29,0.3597560975609756
80,132,36,41,yes,41,0.35751295336787564
0,308,196,10,yes,10,0.35714285714285715
71,560,500,36,no,36,0.35
89,248,512,46,yes,46,0.35
16,220,582,18,yes,18,0.35
28,326,418,24,yes,24,0.3484848484848485
88,196,288,45,no,45,0.34523809523809523
112,524,398,75,yes,75,0.3443396226415094
4,126,298,14,yes,14,0.34210526315789475
36,180,198,26,yes,26,0.3333333333333333
67,690,140,34,yes,34,0.3333333333333333
44,166,460,28,yes,28,0.3269230769230769
58,746,360,31,yes,31,0.32558139534883723
12,252,124,17,yes,17,0.3229166666666667
38,226,218,27,yes,27,0.3223684210526316
59,456,282,32,yes,32,0.31666666666666665
2,596,140,11,yes,11,0.31666666666666665
73,40,168,38,yes,38,0.3160377358490566
113,678,450,82,yes,82,0.31521739130434784
47,508,298,28,yes,28,0.3141025641025641
106,758,598,63,yes,63,0.31179775280898875
64,656,628,33,yes,33,0.30978260869565216
103,62,638,57,yes,57,0.3088803088803089
46,614,532,28,yes,28,0.30128205128205127
15,154,232,18,yes,18,0.29
39,784,486,27,yes,27,0.28289473684210525
51,98,468,29,yes,29,0.2804878048780488
79,534,108,41,yes,41,0.27631578947368424
94,356,510,48,yes,48,0.27238805970149255
60,358,106,32,yes,32,0.2722222222222222
61,48,250,32,yes,32,0.2722222222222222
22,800,446,20,yes,20,0.26785714285714285
35,662,344,25,yes,25,0.2642857142857143
62,458,4,32,yes,32,0.26262626262626265
10,220,68,16,yes,16,0.26136363636363635
93,166,144,47,no,47,0.25757575757575757
78,184,174,40,no,40,0.2544642857142857
75,178,84,40,no,40,0.2544642857142857
101,126,548,56,yes,56,0.25316455696202533
34,304,540,25,yes,25,0.25
77,294,118,40,no,40,0.24553571428571427
84,122,180,42,no,42,0.24152542372881355
105,186,306,62,no,62,0.2413793103448276
20,68,296,20,yes,20,0.24107142857142858
11,190,62,17,yes,17,0.23958333333333334
91,612,298,47,yes,47,0.23863636363636365
40,120,254,27,yes,27,0.23026315789473684
65,246,106,33,no,33,0.22826086956521738
49,594,584,29,yes,29,0.22560975609756098
41,316,66,27,no,27,0.2236842105263158
56,288,204,30,no,30,0.22023809523809523
31,306,164,24,yes,24,0.2196969696969697
70,408,148,35,yes,35,0.2193877551020408
102,122,210,56,no,56,0.21835443037974683
26,96,160,22,no,22,0.21774193548387097
107,260,166,63,no,63,0.21629213483146068
110,196,102,68,no,68,0.21614583333333334
7,766,238,16,yes,16,0.2159090909090909
1,736,92,10,yes,10,0.21428571428571427
3,490,540,14,yes,14,0.21052631578947367
76,50,48,40,no,40,0.20982142857142858
87,100,114,44,no,44,0.20967741935483872
86,706,296,44,no,44,0.2056451612903226
6,694,538,15,yes,15,0.20238095238095238
18,450,630,19,yes,19,0.20192307692307693
66,72,46,33,no,33,0.20108695652173914
72,142,532,36,no,36,0.2
17,132,146,18,yes,18,0.2
81,98,92,41,no,41,0.19736842105263158
114,542,374,82,no,82,0.1956521739130435
52,66,66,29,no,29,0.1951219512195122
95,240,160,48,no,48,0.19029850746268656
98,248,190,50,no,50,0.18928571428571428
74,138,196,38,no,38,0.18867924528301888
54,292,98,30,no,30,0.18452380952380953
120,696,464,104,no,104,0.1836734693877551
8,612,116,16,yes,16,0.18181818181818182
53,262,580,30,yes,30,0.17857142857142858
25,228,136,22,no,22,0.1774193548387097
108,174,126,63,no,63,0.17415730337078653
104,546,396,57,no,57,0.171875
69,308,140,34,no,34,0.171875
109,724,308,65,no,65,0.16758241758241757
96,726,288,48,no,48,0.16417910447761194
63,252,70,32,no,32,0.16111111111111112
83,62,408,42,yes,42,0.16101694915254236
117,690,404,100,no,100,0.1524822695035461
121,656,462,108,no,108,0.14309210526315788
116,120,94,92,no,92,0.1423076923076923
97,344,124,50,no,50,0.1392857142857143
115,280,464,87,no,87,0.13211382113821138
118,666,420,101,no,101,0.13204225352112675
55,204,82,30,no,30,0.13095238095238096
111,774,612,69,no,69,0.12886597938144329
85,190,140,42,no,42,0.1271186440677966
119,696,436,103,no,103,0.1206896551724138
92,268,360,47,yes,47,0.07954545454545454
