x,y,r (pixel),is_circle,r (um)
150,128,117,yes,117
520,162,118,yes,118
736,106,110,yes,110
384,518,111,yes,111
624,592,128,yes,128
678,314,110,yes,110
492,352,87,yes,87
166,114,96,no,96
748,122,85,no,85
174,150,148,no,148
636,576,108,no,108
222,322,81,no,81
532,142,94,no,94
336,206,82,yes,82
204,334,101,yes,101
678,292,133,no,133
526,192,149,no,149
550,156,113,no,113
360,500,141,no,141
368,530,131,no,131
404,508,94,no,94
526,222,178,no,178
334,484,155,no,155
654,348,148,no,148
504,144,119,no,119
266,354,168,no,168
182,170,169,no,169
508,366,108,no,108
200,120,118,no,118
748,90,90,no,90
604,600,148,no,148
640,606,149,no,149
694,330,130,no,130
162,610,74,yes,74
412,462,155,no,155
728,324,161,no,161
338,506,155,no,155
640,320,140,no,140
570,140,139,no,139
710,310,111,no,111
520,344,89,no,89
426,488,195,no,195
258,330,154,no,154
58,472,100,yes,100
180,372,146,no,146
474,368,141,no,141
206,144,138,no,138
132,136,137,no,137
196,358,124,no,124
682,368,153,no,153
768,104,112,no,112
184,610,73,no,73
494,166,137,no,137
502,334,66,no,66
200,386,150,no,150
232,358,139,no,139
716,92,128,no,128
652,302,127,no,127
662,572,116,no,116
220,376,133,no,133
572,170,171,no,171
698,290,122,no,122
184,316,122,no,122
354,474,145,no,145
380,494,136,no,136
514,388,131,no,131
428,510,111,no,111
800,460,91,yes,91
350,24,109,yes,109
310,660,62,yes,62
150,164,148,no,148
552,180,130,no,130
168,350,141,no,141
824,456,89,no,89
358,212,119,no,119
606,622,163,no,163
482,140,138,no,138
140,108,151,no,151
708,110,134,no,134
596,422,51,yes,51
644,548,151,no,151
350,190,104,no,104
42,278,75,yes,75
424,546,138,no,138
314,210,99,no,99
354,362,58,yes,58
392,474,131,no,131
546,124,123,no,123
646,278,148,no,148
712,266,116,no,116
808,440,67,no,67
376,186,128,no,128
726,126,126,no,126
720,290,128,no,128
208,588,95,no,95
470,306,130,no,130
658,596,133,no,133
510,180,99,no,99
400,536,82,no,82
344,242,115,no,115
360,48,74,no,74
682,270,125,no,125
450,504,139,no,139
482,332,124,no,124
462,674,65,yes,65
388,16,115,no,115
236,338,95,no,95
206,472,50,yes,50
180,130,110,no,110
536,332,109,no,109
610,570,101,no,101
464,342,105,no,105
664,330,96,no,96
698,356,56,no,56
76,462,79,no,79
818,608,76,yes,76
192,102,117,no,117
372,346,76,no,76
338,566,126,no,126
230,470,75,no,75
584,602,167,no,167
678,588,138,no,138
320,188,92,no,92
600,10,47,yes,47
676,346,80,no,80
720,348,111,no,111
386,374,75,no,75
276,538,45,yes,45
232,300,103,no,103
284,438,46,yes,46
760,150,77,no,77
82,482,101,no,101
780,120,132,no,132
372,30,82,no,82
328,22,120,no,120
162,590,92,no,92
582,570,126,no,126
764,76,101,no,101
536,372,78,no,78
184,586,72,no,72
78,504,108,no,108
256,540,44,no,44
66,274,82,no,82
204,492,57,no,57
206,618,65,no,65
368,68,53,no,53
680,76,64,no,64
804,480,58,no,58
214,454,53,no,53
214,100,96,no,96
230,138,88,no,88
146,628,82,no,82
264,564,53,no,53
62,678,45,yes,45
302,422,44,no,44
616,430,42,no,42
110,492,68,no,68
434,276,59,no,59
402,568,95,no,95
118,520,68,no,68
612,410,59,no,59
544,204,60,no,60
686,620,60,no,60
300,182,55,no,55
70,358,22,yes,22
418,380,36,no,36
234,410,19,yes,19
494,120,69,no,69
114,86,62,no,62
786,490,59,no,59
358,382,50,no,50
412,290,48,no,48
784,76,55,no,55
370,230,41,no,41
280,294,47,no,47
328,226,43,no,43
642,364,38,no,38
312,296,34,no,34
492,382,43,no,43
162,184,53,no,53
84,526,42,no,42
706,636,41,no,41
288,502,38,no,38
316,392,20,no,20
206,188,49,no,49
520,322,45,no,45
798,140,34,no,34
270,374,34,no,34
202,518,24,no,24
