x,y,r (pixel),is_circle,r (um)
788,588,63,yes,95.13
122,472,120,yes,181.2
260,152,109,yes,164.59
748,242,92,yes,138.92
526,396,87,yes,131.37
410,276,80,yes,120.8
490,96,80,yes,120.8
100,480,142,no,214.42
248,132,114,no,172.14000000000001
104,456,124,no,187.24
556,240,72,yes,108.72
134,448,124,no,187.24
140,284,75,yes,113.25
600,568,116,no,175.16
736,424,89,no,134.39000000000001
48,210,41,yes,61.910000000000004
374,398,56,yes,84.56
306,514,70,yes,105.7
106,100,64,yes,96.64
136,486,128,no,193.28
676,118,51,yes,77.01
484,424,136,no,205.36
700,432,126,no,190.26
716,402,116,no,175.16
426,508,73,no,110.23
552,422,136,no,205.36
512,380,99,no,149.49
620,566,118,no,178.18
740,444,101,yes,152.51
264,348,67,yes,101.17
544,388,106,no,160.06
510,426,120,no,181.2
664,626,67,yes,101.17
404,250,86,no,129.86
742,218,80,no,120.8
716,474,138,no,208.38
230,604,58,yes,87.58
276,138,114,no,172.14000000000001
502,606,56,yes,84.56
428,266,101,no,152.51
642,584,100,no,151.0
636,614,98,no,147.98
476,120,118,no,178.18
714,450,132,no,199.32
754,408,109,no,164.59
122,500,143,no,215.93
674,12,53,yes,80.03
626,512,51,yes,77.01
598,54,39,yes,58.89
710,232,113,no,170.63
500,396,103,no,155.53
280,494,103,no,155.53
474,84,87,no,131.37
612,498,50,no,75.5
152,470,138,no,208.38
390,270,87,no,131.37
536,228,78,no,117.78
530,512,50,yes,75.5
508,116,109,no,164.59
126,268,74,no,111.74
574,252,91,no,137.41
660,594,69,no,104.19
248,332,70,no,105.7
760,444,87,no,131.37
776,564,70,no,105.7
532,426,115,no,173.65
240,150,124,no,187.24
720,212,110,no,166.1
590,136,41,yes,61.910000000000004
98,244,104,no,157.04
260,176,101,no,152.51
516,590,94,no,141.94
452,520,75,no,113.25
500,572,61,no,92.11
220,586,49,no,73.99
506,350,124,no,187.24
486,590,59,no,89.09
454,104,99,no,149.49
578,230,89,no,134.39000000000001
738,464,83,no,125.33
762,218,97,no,146.47
282,160,123,no,185.73
256,312,79,no,119.29
14,624,70,yes,105.7
532,372,87,no,131.37
480,372,112,no,169.12
560,216,74,no,111.74
498,72,96,no,144.96
766,584,83,no,125.33
352,390,68,no,102.68
516,554,80,no,120.8
540,204,79,no,119.29
734,262,69,no,104.19
398,158,38,yes,57.38
154,446,79,no,119.29
316,494,63,no,95.13
426,480,60,no,90.6
426,528,49,no,73.99
472,576,47,no,70.97
642,280,34,yes,51.34
638,356,46,yes,69.46
800,572,50,no,75.5
228,170,70,no,105.7
566,644,40,no,60.4
388,290,55,no,83.05
782,428,68,no,102.68
768,246,60,no,90.6
512,502,44,no,66.44
682,612,43,no,64.93
208,604,27,no,40.77
284,344,46,no,69.46
484,560,41,no,61.910000000000004
338,500,36,no,54.36
762,536,39,no,58.89
