x,y,r (pixel),is_circle,r (um)
344,94,175,yes,175
116,228,101,no,101
594,194,108,yes,108
810,256,128,yes,128
630,422,127,yes,127
254,426,109,yes,109
22,474,114,yes,114
434,330,98,yes,98
100,250,128,yes,128
432,536,105,no,105
404,548,135,no,135
600,174,88,no,88
636,398,98,no,98
590,422,150,no,150
798,510,81,yes,81
448,550,134,no,134
610,416,129,no,129
652,412,119,no,119
180,600,87,yes,87
264,402,86,no,86
362,82,154,no,154
830,248,121,no,121
624,620,81,no,81
342,376,168,no,168
232,422,125,no,125
468,540,118,no,118
124,254,100,no,100
650,448,160,no,160
462,336,123,no,123
450,316,118,no,118
42,458,90,no,90
628,444,146,no,146
408,510,164,no,164
426,558,126,no,126
608,392,158,no,158
688,392,160,no,160
616,464,191,no,191
564,180,131,no,131
286,416,108,no,108
188,580,66,no,66
360,110,130,no,130
570,388,179,no,179
626,158,156,no,156
396,494,171,no,171
674,442,156,no,156
336,116,152,no,152
306,400,134,no,134
448,512,128,no,128
570,436,174,no,174
384,548,155,no,155
252,482,167,no,167
584,220,135,no,135
220,584,99,no,99
284,384,124,no,124
594,638,115,no,115
414,322,113,no,113
242,402,122,no,122
320,84,187,no,187
440,612,178,no,178
670,404,134,no,134
620,198,134,no,134
490,530,136,no,136
488,346,150,no,150
636,184,115,no,115
310,668,66,yes,66
438,588,157,no,157
480,558,139,no,139
234,442,136,no,136
472,518,124,no,124
488,320,120,no,120
826,270,148,no,148
616,640,101,yes,101
396,336,136,no,136
410,302,134,no,134
626,380,132,no,132
468,302,105,no,105
252,462,147,no,147
424,500,138,no,138
590,364,158,no,158
296,436,131,no,131
76,250,147,no,147
60,624,44,no,44
590,400,143,no,143
660,384,116,no,116
800,238,108,no,108
374,136,100,no,100
268,448,70,no,70
338,62,179,no,179
602,440,121,no,121
218,392,131,no,131
158,598,82,no,82
642,364,118,no,118
770,516,80,no,80
316,62,200,no,200
580,168,119,no,119
34,640,73,no,73
386,90,125,no,125
460,570,113,no,113
770,656,76,no,76
826,74,72,yes,72
384,524,142,no,142
212,432,115,no,115
646,620,66,no,66
212,564,103,no,103
38,486,93,no,93
92,224,124,no,124
166,570,94,no,94
600,154,120,no,120
444,348,66,no,66
146,246,127,no,127
822,492,110,no,110
452,290,113,no,113
410,572,112,no,112
116,274,87,no,87
200,596,76,no,76
786,638,52,no,52
604,614,97,no,97
608,214,80,no,80
382,116,116,no,116
618,600,94,no,94
432,306,90,no,90
812,222,92,no,92
118,208,86,no,86
50,510,68,no,68
820,514,70,no,70
846,226,136,no,136
186,554,69,no,69
638,466,64,no,64
414,364,95,no,95
800,480,53,no,53
162,624,58,no,58
260,380,68,no,68
68,492,68,no,68
584,606,69,no,69
76,640,65,no,65
458,596,65,no,65
128,292,65,no,65
808,530,51,no,51
190,620,51,no,51
336,402,60,no,60
770,492,65,no,65
658,472,65,no,65
398,142,97,no,97
66,458,73,no,73
504,302,66,no,66
278,466,50,no,50
476,226,45,no,45
316,648,44,no,44
568,206,55,no,55
646,592,45,no,45
142,574,58,no,58
814,290,91,no,91
394,458,60,no,60
546,498,58,no,58
490,212,39,no,39
152,268,69,no,69
460,370,50,no,50
52,648,35,no,35
584,244,56,no,56
542,300,39,no,39
728,562,36,no,36
