x,y,r (pixel),is_circle,r (um)
628,514,182,yes,182
478,160,192,yes,192
74,452,260,yes,260
456,152,203,no,203
448,130,234,no,234
640,492,144,no,144
92,424,226,no,226
62,480,311,no,311
798,184,131,yes,131
608,504,185,no,185
504,176,254,no,254
644,526,162,no,162
456,176,218,no,218
198,114,87,yes,87
94,454,243,no,243
552,194,303,no,303
672,514,224,no,224
94,482,269,no,269
658,484,138,no,138
54,462,274,no,274
430,118,253,no,253
430,144,225,no,225
614,532,182,no,182
490,144,173,no,173
392,420,92,yes,92
484,182,195,no,195
522,192,189,no,189
804,164,152,no,152
452,110,223,no,223
114,472,263,no,263
508,154,197,no,197
642,470,124,no,124
420,78,280,no,280
524,170,217,no,217
656,544,193,no,193
484,122,276,no,276
590,490,195,no,195
226,114,114,no,114
110,396,193,no,193
72,422,252,no,252
620,488,157,no,157
118,416,201,no,201
684,536,191,no,191
646,448,113,no,113
446,400,93,no,93
210,98,67,no,67
550,162,161,no,161
526,144,142,no,142
620,468,118,no,118
182,94,93,no,93
380,404,97,no,97
418,402,68,no,68
86,394,196,no,196
220,136,95,no,95
508,212,133,no,133
696,570,75,no,75
424,422,62,no,62
550,216,121,no,121
680,556,97,no,97
610,448,95,no,95
778,170,84,no,84
574,184,94,no,94
282,458,34,no,34
822,174,103,no,103
688,496,104,no,104
218,74,73,no,73
568,242,92,no,92
414,444,46,no,46
398,394,49,no,49
