x,y,r (pixel),is_circle,r (um)
738,456,32,yes,32
704,88,25,yes,25
466,456,25,yes,25
752,394,27,yes,27
578,140,28,yes,28
438,588,30,yes,30
780,350,27,yes,27
462,242,30,yes,30
464,188,21,yes,21
438,520,43,yes,43
494,500,25,yes,25
548,526,23,yes,23
434,300,29,yes,29
820,146,25,yes,25
532,292,29,yes,29
282,616,27,yes,27
36,158,29,yes,29
358,654,19,yes,19
530,618,28,yes,28
228,222,17,yes,17
410,454,34,yes,34
442,410,25,yes,25
178,352,41,yes,41
288,524,38,yes,38
330,622,19,yes,19
582,628,23,yes,23
758,578,22,yes,22
670,368,22,yes,22
256,574,22,yes,22
230,182,20,yes,20
486,142,30,yes,30
372,606,34,no,34
168,572,32,no,32
796,604,24,yes,24
596,360,23,yes,23
440,114,22,yes,22
650,260,37,no,37
466,66,29,yes,29
672,52,23,yes,23
384,298,21,yes,21
656,496,22,yes,22
706,266,21,yes,21
184,604,18,yes,18
148,628,31,no,31
348,494,23,yes,23
242,610,16,yes,16
296,464,15,yes,15
