x,y,r (pixel),is_circle,r (um)
448,260,105,yes,105
430,564,105,yes,105
766,170,153,yes,153
648,392,111,yes,111
648,568,76,yes,76
830,518,113,yes,113
794,152,172,no,172
774,152,151,no,151
94,218,60,yes,60
422,68,87,yes,87
746,158,123,no,123
484,220,158,no,158
458,548,136,no,136
498,388,53,yes,53
92,382,53,yes,53
570,226,201,no,201
498,194,166,no,166
612,386,148,no,148
666,378,111,no,111
788,172,176,no,176
666,406,132,no,132
454,490,147,no,147
618,338,174,no,174
674,360,117,no,117
644,372,92,no,92
686,440,170,no,170
292,242,50,yes,50
468,526,157,no,157
478,196,156,no,156
54,56,146,yes,146
654,548,83,no,83
812,508,86,no,86
510,218,142,no,142
472,246,118,no,118
446,236,105,no,105
40,300,44,yes,44
650,434,174,no,174
202,176,159,no,159
454,188,178,no,178
602,406,160,no,160
496,552,148,no,148
672,578,105,no,105
434,544,89,no,89
396,542,142,no,142
502,244,140,no,140
688,396,135,no,135
746,182,116,no,116
488,268,144,no,144
452,510,145,no,145
426,260,122,no,122
72,472,44,yes,44
836,498,118,no,118
172,298,44,yes,44
814,154,180,no,180
208,214,174,no,174
808,320,32,yes,32
678,340,147,no,147
634,420,140,no,140
612,364,130,no,130
646,350,116,no,116
462,218,118,no,118
814,132,199,no,199
406,564,120,no,120
696,372,110,no,110
592,360,143,no,143
794,132,168,no,168
678,548,88,no,88
478,560,129,no,129
658,332,130,no,130
728,190,111,no,111
436,524,108,no,108
452,570,79,no,79
468,268,86,no,86
652,524,97,no,97
426,230,92,no,92
436,46,83,no,83
436,280,70,no,70
524,146,117,no,117
648,588,96,no,96
772,124,160,no,160
618,552,92,no,92
394,146,30,yes,30
490,530,122,no,122
440,82,64,no,64
174,212,116,no,116
424,584,84,no,84
116,210,58,no,58
672,516,93,no,93
208,242,127,no,127
440,210,107,no,107
416,292,47,no,47
558,428,29,no,29
244,286,28,yes,28
724,144,106,no,106
772,194,112,no,112
532,124,101,no,101
822,540,90,no,90
314,228,63,no,63
510,370,52,no,52
852,510,115,no,115
316,250,68,no,68
722,170,97,no,97
110,372,73,no,73
462,594,58,no,58
692,420,55,no,55
544,146,98,no,98
404,238,73,no,73
476,290,66,no,66
702,350,86,no,86
414,532,70,no,70
404,78,56,no,56
586,244,63,no,63
406,264,60,no,60
328,506,23,yes,23
608,260,71,no,71
456,290,67,no,67
386,572,59,no,59
294,202,75,no,75
406,218,65,no,65
702,202,68,no,68
192,260,66,no,66
496,290,50,no,50
184,282,44,no,44
52,282,44,no,44
104,234,41,no,41
616,432,45,no,45
716,492,22,no,22
546,514,48,no,48
528,446,48,no,48
388,520,44,no,44
716,438,46,no,46
762,250,55,no,55
70,208,38,no,38
