x,y,r (pixel),is_circle,r (um)
744,176,56,yes,165.20000000000002
588,196,45,yes,132.75
198,54,33,yes,97.35000000000001
518,166,32,yes,94.4
710,66,45,no,132.75
352,120,29,yes,85.55000000000001
470,32,47,yes,138.65
640,130,39,yes,115.05000000000001
420,102,36,yes,106.2
794,96,33,yes,97.35000000000001
518,100,33,yes,97.35000000000001
576,64,44,no,129.8
138,76,28,yes,82.60000000000001
248,90,24,yes,70.80000000000001
136,14,32,yes,94.4
282,36,48,no,141.60000000000002
364,62,32,yes,94.4
262,134,20,yes,59.0
62,6,32,yes,94.4
298,104,24,yes,70.80000000000001
568,128,22,yes,64.9
852,168,47,yes,138.65
806,24,19,yes,56.050000000000004
208,100,17,yes,50.150000000000006
532,28,17,yes,50.150000000000006
