x,y,r (pixel),is_circle,r (um)
484,506,161,yes,161
704,288,104,yes,104
460,164,132,yes,132
460,486,191,no,191
186,162,111,yes,111
818,536,133,yes,133
474,526,186,no,186
502,482,191,no,191
714,48,108,yes,108
214,216,196,no,196
246,454,66,yes,66
248,222,221,no,221
304,316,67,yes,67
208,186,168,no,168
436,164,174,no,174
498,180,170,no,170
400,196,220,no,220
464,506,206,no,206
156,146,143,no,143
144,192,190,no,190
684,290,137,no,137
434,480,237,no,237
454,238,237,no,237
392,222,221,no,221
454,122,172,no,172
504,518,171,no,171
454,468,210,no,210
470,144,155,no,155
680,310,133,no,133
420,254,210,no,210
226,232,176,no,176
432,232,194,no,194
518,192,190,no,190
424,144,172,no,172
488,160,159,no,159
452,204,166,no,166
232,198,193,no,193
504,462,209,no,209
506,538,191,no,191
164,190,176,no,176
478,198,154,no,154
144,344,68,yes,68
424,192,161,no,161
672,272,138,no,138
86,528,75,yes,75
484,448,220,no,220
502,560,209,no,209
482,482,184,no,184
446,146,154,no,154
174,138,130,no,130
716,270,125,no,125
184,196,187,no,187
404,150,202,no,202
526,506,180,no,180
242,668,108,yes,108
444,186,152,no,152
480,126,175,no,175
188,224,174,no,174
502,212,181,no,181
450,530,210,no,210
416,170,230,no,230
204,142,158,no,158
696,36,129,no,129
422,498,247,no,247
412,216,200,no,200
722,298,123,no,123
526,218,203,no,203
528,530,209,no,209
504,140,147,no,147
740,278,160,no,160
832,518,156,no,156
474,178,139,no,139
696,248,144,no,144
230,154,153,no,153
226,176,132,no,132
486,544,166,no,166
154,168,167,no,167
658,326,146,no,146
444,504,172,no,172
160,118,115,no,115
158,210,158,no,158
176,256,161,no,161
112,546,107,no,107
810,514,105,no,105
434,550,235,no,235
208,164,109,no,109
298,336,103,no,103
522,558,215,no,215
120,516,93,no,93
662,296,125,no,125
138,308,117,no,117
728,68,105,no,105
326,308,103,no,103
450,446,209,no,209
176,368,127,no,127
726,248,149,no,149
218,434,104,no,104
240,642,88,no,88
226,132,130,no,130
396,170,191,no,191
650,268,134,no,134
702,312,126,no,126
174,332,77,no,77
144,130,128,no,128
118,346,111,no,111
134,368,92,no,92
270,446,86,no,86
128,328,83,no,83
228,474,91,no,91
312,46,43,yes,43
694,268,84,no,84
194,122,121,no,121
488,230,140,no,140
166,310,100,no,100
86,556,87,no,87
252,176,153,no,153
742,298,123,no,123
738,50,107,no,107
242,434,92,no,92
266,424,89,no,89
474,464,127,no,127
692,336,102,no,102
668,28,157,no,157
282,320,83,no,83
270,466,81,no,81
106,500,80,no,80
738,86,84,no,84
216,414,86,no,86
626,146,47,yes,47
150,324,62,no,62
424,118,114,no,114
224,658,96,no,96
512,114,113,no,113
836,550,147,no,147
306,294,77,no,77
154,364,78,no,78
694,58,88,no,88
244,414,65,no,65
488,256,127,no,127
70,542,87,no,87
216,456,82,no,82
286,288,80,no,80
718,26,103,no,103
204,100,84,no,84
68,512,52,no,52
130,436,51,no,51
632,258,65,no,65
468,106,78,no,78
806,494,94,no,94
544,198,92,no,92
112,428,51,no,51
754,258,71,no,71
318,330,48,no,48
198,626,55,no,55
218,636,75,no,75
250,480,48,no,48
176,470,34,no,34
594,296,41,no,41
666,58,49,no,49
522,134,65,no,65
314,418,43,no,43
218,358,21,no,21
182,506,32,no,32
