index,x,y,r (pixel),is_circle,r (um),probability
51,102,202,37,yes,37,0.6105769230769231
4,322,486,21,yes,21,0.46551724137931033
42,272,472,34,yes,34,0.4635416666666667
18,778,434,27,yes,27,0.4144736842105263
92,268,208,49,yes,49,0.40217391304347827
2,484,250,20,yes,20,0.4017857142857143
88,134,116,47,yes,47,0.3977272727272727
25,298,134,28,yes,28,0.3974358974358974
77,168,270,44,yes,44,0.3911290322580645
27,792,16,28,yes,28,0.38738738738738737
5,634,444,22,yes,22,0.3870967741935484
12,752,568,25,yes,25,0.37142857142857144
127,666,148,67,yes,67,0.3670212765957447
28,350,108,29,yes,29,0.36585365853658536
78,24,188,44,yes,44,0.3583815028901734
34,468,128,32,yes,32,0.35555555555555557
48,44,114,35,yes,35,0.3520408163265306
38,10,564,32,yes,32,0.35135135135135137
44,482,200,34,yes,34,0.34375
8,56,364,24,yes,24,0.3409090909090909
0,426,538,16,yes,16,0.3409090909090909
43,458,612,34,yes,34,0.3333333333333333
90,68,42,47,yes,47,0.3303964757709251
20,94,452,27,yes,27,0.32894736842105265
52,414,664,37,yes,37,0.32653061224489793
55,184,192,38,yes,38,0.32547169811320753
97,650,258,51,yes,51,0.3229166666666667
22,34,506,27,yes,27,0.3157894736842105
61,838,392,39,yes,39,0.31386861313868614
58,394,506,39,yes,39,0.3090909090909091
112,70,290,57,yes,57,0.3
30,656,488,29,yes,29,0.29878048780487804
32,546,482,30,yes,30,0.2976190476190476
102,318,300,56,yes,56,0.2974683544303797
89,742,300,47,yes,47,0.29545454545454547
130,384,196,70,yes,70,0.29336734693877553
15,724,82,26,yes,26,0.2916666666666667
104,442,306,56,yes,56,0.2879746835443038
73,694,406,43,yes,43,0.2875
60,604,630,39,yes,39,0.2863636363636364
68,528,640,41,yes,41,0.2850877192982456
53,358,432,37,no,37,0.28365384615384615
26,706,204,28,no,28,0.28205128205128205
103,438,430,56,yes,56,0.27848101265822783
47,550,64,35,yes,35,0.2755102040816326
11,414,104,25,yes,25,0.2714285714285714
74,288,392,43,yes,43,0.2708333333333333
24,766,372,28,yes,28,0.2692307692307692
121,184,446,61,yes,61,0.26744186046511625
72,226,330,42,yes,42,0.2669491525423729
29,386,52,29,yes,29,0.2621951219512195
59,792,84,39,yes,39,0.2590909090909091
7,600,488,23,yes,23,0.2578125
84,572,554,46,yes,46,0.25769230769230766
10,816,264,25,yes,25,0.2571428571428571
19,748,132,27,yes,27,0.2565789473684211
50,372,364,36,no,36,0.255
100,464,48,54,yes,54,0.2548262548262548
62,828,470,39,no,39,0.25477707006369427
46,34,642,34,no,34,0.25
31,802,138,29,no,29,0.25
105,294,50,56,yes,56,0.24907063197026022
76,716,12,43,no,43,0.2482758620689655
56,108,652,38,yes,38,0.24581005586592178
98,480,524,51,yes,51,0.24305555555555555
6,504,582,22,yes,22,0.24193548387096775
82,828,560,45,yes,45,0.23699421965317918
96,550,150,51,yes,51,0.2361111111111111
113,186,628,57,no,57,0.234375
75,38,428,43,no,43,0.2315270935960591
79,326,526,44,no,44,0.22983870967741934
107,448,412,56,no,56,0.22468354430379747
69,230,126,41,yes,41,0.21929824561403508
83,552,244,46,yes,46,0.2153846153846154
80,404,488,44,no,44,0.20967741935483872
16,804,336,26,yes,26,0.20833333333333334
35,674,632,32,yes,32,0.20555555555555555
3,634,542,20,yes,20,0.20535714285714285
21,322,620,27,yes,27,0.20394736842105263
33,768,518,31,yes,31,0.20348837209302326
94,182,254,49,no,49,0.2028985507246377
14,782,596,25,no,25,0.2
13,516,304,25,yes,25,0.2
23,516,434,27,no,27,0.19736842105263158
81,542,616,45,no,45,0.19444444444444445
146,568,386,83,yes,83,0.19444444444444445
125,554,566,65,no,65,0.19230769230769232
118,668,558,60,no,60,0.19047619047619047
66,332,600,40,no,40,0.1875
129,414,594,69,no,69,0.18556701030927836
57,100,404,38,no,38,0.18396226415094338
86,244,524,46,no,46,0.18076923076923077
133,798,186,71,no,71,0.1791530944625407
37,502,524,32,no,32,0.17777777777777778
115,486,498,59,no,59,0.17771084337349397
108,334,284,56,no,56,0.17721518987341772
70,470,590,41,no,41,0.17543859649122806
137,58,306,74,no,74,0.1743119266055046
40,666,334,33,yes,33,0.17391304347826086
85,384,582,46,no,46,0.17307692307692307
45,268,592,34,no,34,0.171875
109,588,540,56,no,56,0.17088607594936708
158,742,596,109,no,109,0.17038539553752535
128,760,282,68,no,68,0.16927083333333334
144,686,126,81,no,81,0.16666666666666666
71,104,380,41,no,41,0.16666666666666666
155,564,408,103,no,103,0.16551724137931034
134,88,298,72,no,72,0.16336633663366337
116,402,188,59,no,59,0.16265060240963855
143,578,368,80,no,80,0.16150442477876106
124,460,514,64,no,64,0.16111111111111112
106,106,550,56,yes,56,0.15822784810126583
123,218,592,63,no,63,0.15730337078651685
110,696,534,56,no,56,0.1550632911392405
54,300,528,37,no,37,0.15384615384615385
120,124,626,60,no,60,0.15223880597014924
151,150,154,89,no,89,0.15
36,732,466,32,no,32,0.15
114,86,276,58,no,58,0.14939024390243902
93,776,210,49,yes,49,0.14855072463768115
163,204,172,124,no,124,0.1457142857142857
91,292,480,48,no,48,0.1455223880597015
64,424,644,39,no,39,0.14545454545454545
152,700,566,91,no,91,0.14453125
165,204,416,132,no,132,0.14381720430107528
87,614,608,46,no,46,0.1423076923076923
147,654,166,84,no,84,0.1419491525423729
159,260,456,112,no,112,0.14082278481012658
136,310,400,73,no,73,0.1407766990291262
160,600,556,120,no,120,0.14053254437869822
99,306,374,52,no,52,0.1404109589041096
138,422,320,75,no,75,0.1391509433962264
156,400,164,104,no,104,0.1377551020408163
9,656,54,25,yes,25,0.1357142857142857
149,134,568,87,no,87,0.13211382113821138
150,388,218,88,no,88,0.1310483870967742
148,680,164,87,no,87,0.13008130081300814
140,588,520,77,no,77,0.12962962962962962
49,456,442,35,no,35,0.12755102040816327
141,680,606,77,no,77,0.12731481481481483
101,54,412,55,no,55,0.1270358306188925
119,416,506,60,no,60,0.125
41,640,576,33,no,33,0.125
166,168,470,134,no,134,0.12301587301587301
1,718,510,18,yes,18,0.12
161,596,390,121,no,121,0.11988304093567251
132,126,530,71,no,71,0.1175
135,446,286,73,no,73,0.11650485436893204
157,714,544,108,no,108,0.11513157894736842
145,164,448,81,no,81,0.1118421052631579
126,710,390,66,no,66,0.11021505376344086
153,364,188,92,no,92,0.10961538461538461
39,152,342,33,yes,33,0.10869565217391304
142,108,576,79,no,79,0.10585585585585586
154,588,350,97,no,97,0.10583941605839416
111,552,374,56,no,56,0.10443037974683544
139,646,146,75,no,75,0.10377358490566038
95,466,398,50,no,50,0.10357142857142858
167,588,330,143,no,143,0.10024752475247525
164,398,552,131,no,131,0.09864864864864865
162,548,540,123,no,123,0.09826589595375723
131,720,308,70,no,70,0.09693877551020408
122,210,610,63,no,63,0.09269662921348315
65,230,542,40,yes,40,0.08928571428571429
63,226,634,39,no,39,0.08636363636363636
67,310,544,41,yes,41,0.08333333333333333
117,450,326,59,no,59,0.07228915662650602
17,52,606,26,yes,26,0.04861111111111111
