x,y,r (pixel),is_circle,r (um)
532,338,76,yes,76
778,122,106,yes,106
668,266,61,yes,61
208,252,98,yes,98
798,364,80,yes,80
558,156,85,yes,85
374,142,70,yes,70
580,510,76,yes,76
374,320,58,yes,58
408,574,76,yes,76
546,140,104,no,104
102,446,75,yes,75
772,594,102,yes,102
192,270,123,no,123
604,476,145,no,145
278,454,76,yes,76
90,92,65,yes,65
220,270,141,no,141
548,318,100,no,100
222,612,67,yes,67
564,194,156,no,156
492,324,159,no,159
234,290,171,no,171
220,234,129,no,129
420,104,95,no,95
448,236,40,yes,40
352,156,96,no,96
256,458,95,no,95
566,128,127,no,127
234,254,126,no,126
194,234,111,no,111
568,526,96,no,96
526,152,150,no,150
176,282,143,no,143
580,162,110,no,110
92,464,96,no,96
240,62,67,yes,67
64,606,58,yes,58
600,532,124,no,124
398,156,94,no,94
424,432,63,no,63
380,580,92,no,92
512,332,91,no,91
612,660,54,yes,54
588,140,106,no,106
772,102,90,no,90
556,504,105,no,105
652,386,45,yes,45
296,442,118,no,118
546,178,142,no,142
398,596,99,no,99
638,20,50,yes,50
602,508,97,no,97
120,462,94,no,94
420,590,96,no,96
456,58,36,yes,36
608,176,131,no,131
110,92,106,no,106
400,124,79,no,79
544,358,119,no,119
180,250,111,no,111
506,354,105,no,105
770,574,83,no,83
402,554,109,no,109
566,554,122,no,122
76,320,36,yes,36
260,480,106,no,106
376,164,101,no,101
204,642,101,no,101
616,492,88,no,88
672,370,58,no,58
590,492,94,no,94
116,430,95,no,95
374,342,90,no,90
200,596,88,no,88
432,566,104,no,104
390,296,95,no,95
362,124,92,no,92
476,68,58,no,58
568,360,108,no,108
82,446,84,no,84
796,394,120,no,120
524,316,101,no,101
354,332,82,no,82
22,226,64,yes,64
158,294,104,no,104
354,22,34,yes,34
690,272,75,no,75
702,252,92,no,92
316,444,85,no,85
262,76,74,no,74
538,294,100,no,100
394,334,83,no,83
448,552,90,no,90
82,72,85,no,85
68,92,84,no,84
266,54,72,no,72
380,116,64,no,64
446,424,48,no,48
524,6,50,yes,50
560,298,81,no,81
790,344,73,no,73
296,466,56,no,56
472,44,42,no,42
104,72,55,no,55
410,312,63,no,63
212,52,35,no,35
22,378,20,yes,20
140,264,77,no,77
424,544,68,no,68
746,620,67,no,67
522,126,44,no,44
180,342,22,no,22
274,260,64,no,64
364,300,48,no,48
220,590,47,no,47
232,330,16,yes,16
438,604,65,no,65
714,436,29,yes,29
498,568,28,no,28
624,312,25,no,25
136,478,56,no,56
