x,y,r (pixel),is_circle,r (um)
552,412,59,yes,59
678,502,77,yes,77
674,332,72,yes,72
146,556,92,yes,92
500,564,91,yes,91
328,528,86,yes,86
172,232,80,yes,80
466,62,57,yes,57
252,372,73,yes,73
706,166,78,yes,78
442,196,73,yes,73
106,372,76,yes,76
420,398,66,yes,66
824,288,70,yes,70
602,42,68,yes,68
232,94,63,no,63
538,284,63,yes,63
634,650,63,yes,63
804,602,66,yes,66
84,90,70,yes,70
726,174,99,no,99
798,16,77,yes,77
272,388,100,no,100
564,168,54,yes,54
24,228,73,yes,73
350,86,47,yes,47
344,514,98,no,98
356,290,52,yes,52
120,558,107,no,107
272,366,91,no,91
690,186,103,no,103
248,76,74,no,74
192,248,99,no,99
106,80,66,no,66
240,390,94,no,94
316,184,53,yes,53
780,404,47,yes,47
696,526,120,no,120
156,576,114,no,114
516,550,88,no,88
192,226,75,no,75
214,84,83,no,83
264,662,56,yes,56
712,144,100,no,100
90,386,91,no,91
136,538,111,no,111
528,300,75,no,75
794,584,46,no,46
452,292,32,yes,32
114,390,98,no,98
698,494,97,no,97
154,220,95,no,95
122,354,94,no,94
516,576,60,no,60
400,664,55,no,55
424,208,85,no,85
664,312,52,no,52
106,102,82,no,82
326,502,61,no,61
234,362,93,no,93
632,214,24,yes,24
334,174,58,no,58
670,478,55,no,55
254,352,51,no,51
38,460,37,yes,37
346,542,64,no,64
420,376,41,no,41
242,466,34,yes,34
100,350,54,no,54
274,262,36,yes,36
500,538,55,no,55
82,360,66,no,66
32,538,26,yes,26
436,412,46,no,46
154,250,48,no,48
186,426,30,yes,30
