x,y,r (pixel),is_circle,r (um)
778,510,57,yes,57
678,560,74,no,74
396,208,39,yes,39
230,222,72,no,72
452,82,70,no,70
518,592,73,no,73
628,102,71,no,71
766,390,71,no,71
428,318,34,yes,34
332,136,49,no,49
414,408,54,no,54
798,520,68,no,68
680,454,56,no,56
528,536,40,yes,40
302,416,58,no,58
776,634,53,no,53
672,72,44,yes,44
662,154,28,yes,28
474,470,41,no,41
446,62,61,no,61
218,56,51,no,51
598,382,54,no,54
586,118,48,no,48
422,630,54,yes,54
550,276,59,yes,59
476,184,44,no,44
326,572,39,yes,39
722,138,44,no,44
104,364,41,yes,41
296,72,41,no,41
162,290,37,no,37
358,62,37,yes,37
686,366,28,yes,28
74,618,57,no,57
174,522,41,no,41
142,142,56,no,56
256,574,49,no,49
550,190,39,yes,39
744,210,38,yes,38
270,134,20,yes,20
616,646,38,yes,38
180,592,29,yes,29
618,514,48,no,48
62,68,36,no,36
328,472,35,no,35
674,216,26,yes,26
408,614,55,no,55
292,358,42,yes,42
414,136,36,yes,36
522,130,38,no,38
160,56,37,yes,37
778,278,34,yes,34
540,388,34,no,34
272,186,30,yes,30
482,302,24,yes,24
134,420,46,no,46
254,278,23,yes,23
614,588,38,no,38
446,204,17,yes,17
628,262,34,yes,34
112,228,28,yes,28
234,42,46,no,46
558,36,42,yes,42
698,262,39,yes,39
364,276,38,no,38
664,620,21,yes,21
458,242,39,yes,39
50,192,39,yes,39
240,506,26,yes,26
230,380,41,no,41
746,68,34,yes,34
792,650,30,yes,30
324,300,29,yes,29
788,434,21,yes,21
716,164,41,no,41
530,620,38,no,38
608,324,33,no,33
614,446,32,no,32
232,324,29,yes,29
668,310,26,yes,26
54,308,31,yes,31
356,380,27,yes,27
196,92,24,yes,24
692,476,36,no,36
744,394,38,yes,38
196,432,31,yes,31
482,362,29,no,29
438,530,28,no,28
462,134,26,yes,26
428,74,46,no,46
746,446,21,yes,21
430,420,30,no,30
236,156,26,no,26
492,104,19,yes,19
354,332,27,yes,27
536,346,22,yes,22
616,242,39,no,39
170,374,29,yes,29
124,562,28,no,28
164,216,25,yes,25
198,184,22,yes,22
224,124,19,yes,19
568,570,29,no,29
94,544,28,no,28
614,56,19,yes,19
320,226,29,no,29
764,580,25,yes,25
278,604,23,no,23
586,422,21,yes,21
614,162,16,yes,16
100,594,22,yes,22
272,238,16,yes,16
536,456,26,no,26
498,408,21,no,21
538,90,20,yes,20
416,470,19,no,19
248,98,17,yes,17
698,182,17,yes,17
172,466,14,yes,14
346,638,26,no,26
274,314,20,yes,20
588,224,14,yes,14
484,490,22,no,22
702,410,16,yes,16
196,482,21,no,21
628,376,21,no,21
748,618,21,yes,21
772,114,18,yes,18
68,452,25,no,25
748,136,22,no,22
408,256,20,yes,20
382,100,17,yes,17
276,52,13,yes,13
646,346,12,yes,12
780,26,24,yes,24
786,158,22,no,22
124,488,20,no,20
446,262,24,no,24
576,484,20,yes,20
806,398,19,yes,19
776,302,18,no,18
258,434,20,no,20
66,252,15,no,15
