x,y,r (pixel),is_circle,r (um)
194,418,326,yes,326
726,432,203,yes,203
214,414,307,no,307
748,450,232,no,232
720,452,184,no,184
172,424,380,no,380
216,388,295,no,295
188,458,352,no,352
146,430,364,no,364
156,458,418,no,418
630,10,243,yes,243
236,410,284,no,284
750,412,232,no,232
186,394,348,no,348
188,438,331,no,331
144,482,444,no,444
764,398,253,no,253
154,396,367,no,367
250,348,336,no,336
646,44,188,no,188
248,388,268,no,268
214,434,300,no,300
258,422,262,no,262
122,478,403,no,403
720,410,161,no,161
120,454,393,no,393
752,472,215,no,215
120,504,476,no,476
782,476,273,no,273
260,368,247,no,247
788,384,279,no,279
700,430,182,no,182
90,472,427,no,427
170,478,366,no,366
136,412,410,no,410
290,362,322,no,322
210,456,333,no,333
786,454,229,no,229
714,474,210,no,210
234,432,283,no,283
216,364,272,no,272
696,464,200,no,200
230,454,337,no,337
698,408,135,no,135
652,26,198,no,198
682,446,218,no,218
196,366,318,no,318
812,496,309,no,309
758,432,180,no,180
594,22,254,no,254
136,384,388,no,388
812,372,306,no,306
640,454,230,no,230
232,376,277,no,277
650,66,167,no,167
226,338,279,no,279
276,402,281,no,281
852,332,362,no,362
660,418,230,no,230
732,484,224,no,224
162,378,376,no,376
784,500,249,no,249
676,478,206,no,206
680,502,181,no,181
820,346,328,no,328
252,452,259,no,259
778,436,208,no,208
770,532,272,no,272
248,300,235,no,235
762,512,256,no,256
280,334,207,no,207
742,388,156,no,156
168,354,329,no,329
678,38,171,no,171
766,488,236,no,236
246,322,216,no,216
624,34,216,no,216
712,390,167,no,167
688,388,145,no,145
764,378,195,no,195
680,62,170,no,170
306,344,196,no,196
246,472,334,no,334
702,494,190,no,190
706,56,138,no,138
302,380,215,no,215
678,82,155,no,155
726,374,136,no,136
660,392,126,no,126
298,314,182,no,182
272,282,177,no,177
280,462,229,no,229
700,372,114,no,114
680,426,130,no,130
330,344,177,no,177
678,370,125,no,125
752,360,126,no,126
706,348,124,no,124
298,236,117,no,117
352,332,150,no,150
246,270,170,no,170
588,604,80,no,80
542,252,84,no,84
658,368,85,no,85
278,236,130,no,130
400,338,110,no,110
666,336,70,no,70
562,622,62,no,62
728,504,121,no,121
774,354,85,no,85
340,202,71,no,71
852,644,54,no,54
638,376,73,no,73
774,312,61,no,61
