x,y,r (pixel),is_circle,r (um)
176,480,142,yes,214.42
112,196,116,yes,175.16
198,512,181,no,273.31
652,308,155,no,234.05
454,222,115,yes,173.65
176,502,158,no,238.58
174,458,151,no,228.01
154,454,155,no,234.05
150,476,169,no,255.19
192,468,155,no,234.05
638,352,198,no,298.98
680,294,152,no,229.52
120,228,151,no,228.01
468,200,118,no,178.18
684,318,137,yes,206.87
288,294,75,yes,113.25
418,544,100,yes,151.0
448,194,115,no,173.65
154,502,143,no,215.93
218,498,186,no,280.86
198,446,170,no,256.7
198,490,151,no,228.01
78,190,141,no,212.91
612,100,88,yes,132.88
220,522,191,no,288.41
500,388,75,yes,113.25
594,510,83,yes,125.33
170,436,169,no,255.19
132,490,185,no,279.35
288,92,92,yes,138.92
134,450,169,no,255.19
390,162,168,no,253.68
104,216,132,no,199.32
700,304,139,no,209.89000000000001
98,174,131,no,197.81
368,184,183,no,276.33
674,340,161,no,243.11
742,474,64,yes,96.64
390,248,175,no,264.25
212,468,175,no,264.25
384,206,183,no,276.33
472,486,178,no,268.78000000000003
456,20,88,yes,132.88
126,180,141,no,212.91
230,480,191,no,288.41
72,166,165,no,249.15
390,184,165,no,249.15
658,280,155,no,234.05
694,278,136,no,205.36
434,214,120,no,181.2
628,300,173,no,261.23
146,432,172,no,259.72
46,170,169,no,255.19
678,362,183,no,276.33
170,522,162,no,244.62
84,212,151,no,228.01
750,124,68,yes,102.68
718,316,161,no,243.11
226,440,197,no,297.47
702,328,158,no,238.58
394,526,109,no,164.59
448,526,133,no,200.83
654,328,163,no,246.13
420,520,109,no,164.59
606,74,89,no,134.39000000000001
400,144,172,no,259.72
414,180,141,no,212.91
286,72,89,no,134.39000000000001
106,156,154,no,232.54
712,288,143,no,215.93
428,466,174,no,262.74
632,108,104,no,157.04
476,222,130,no,196.3
274,268,104,no,157.04
310,104,75,no,113.25
152,530,120,no,181.2
132,202,134,no,202.34
626,82,96,no,144.96
732,332,184,no,277.84
722,628,92,yes,138.92
258,256,101,no,152.51
546,652,75,yes,113.25
578,498,102,no,154.02
300,274,75,no,113.25
376,510,131,no,197.81
496,368,70,no,105.7
484,184,134,no,202.34
396,546,114,no,172.14000000000001
430,504,98,no,147.98
306,76,86,no,129.86
62,148,171,no,258.21
768,112,73,no,110.23
202,534,111,no,167.61
124,468,98,no,147.98
614,508,96,no,144.96
158,20,68,yes,102.68
412,206,128,no,193.28
614,488,111,no,167.61
520,386,95,no,143.45
440,242,90,no,135.9
634,60,107,no,161.57
592,96,98,no,147.98
248,190,36,yes,54.36
696,634,138,no,208.38
128,154,122,no,184.22
724,132,93,no,140.43
398,506,108,no,163.08
328,120,92,no,138.92
762,478,63,no,95.13
174,36,57,no,86.07000000000001
316,294,99,no,149.49
268,286,82,no,123.82000000000001
438,546,78,no,117.78
132,510,122,no,184.22
750,454,45,no,67.95
98,236,91,no,137.41
742,102,77,no,116.27
198,28,62,no,93.62
8,10,78,yes,117.78
646,88,86,no,129.86
768,136,78,no,117.78
720,266,100,no,151.0
110,490,98,no,147.98
436,262,72,no,108.72
92,258,75,no,113.25
578,524,60,no,90.6
128,550,90,no,135.9
140,240,80,no,120.8
486,250,73,no,110.23
300,124,60,no,90.6
396,572,65,no,98.15
328,92,60,no,90.6
758,434,57,no,86.07000000000001
606,120,67,no,101.17
152,260,68,no,102.68
754,358,63,no,95.13
576,78,76,no,114.76
134,574,74,no,111.74
772,612,71,no,107.21
120,250,83,no,125.33
264,96,69,no,104.19
724,464,41,no,61.910000000000004
252,114,48,no,72.48
246,48,34,no,51.34
752,606,64,no,96.64
624,130,57,no,86.07000000000001
110,446,76,no,114.76
212,96,27,no,40.77
498,208,84,no,126.84
302,310,55,no,83.05
550,476,55,no,83.05
456,504,73,no,110.23
180,16,41,no,61.910000000000004
494,424,40,no,60.4
458,556,57,no,86.07000000000001
470,382,44,no,66.44
506,254,41,no,61.910000000000004
412,240,64,no,96.64
278,122,40,no,60.4
718,88,47,no,70.97
526,406,40,no,60.4
770,454,32,no,48.32
800,28,25,no,37.75
