x,y,r (pixel),is_circle,r (um)
738,246,106,yes,106
544,168,97,yes,97
440,314,81,yes,81
666,452,106,yes,106
594,310,58,yes,58
372,84,96,yes,96
404,504,109,yes,109
446,502,128,no,128
762,238,115,no,115
574,162,110,no,110
768,80,44,yes,44
246,608,80,yes,80
462,306,87,no,87
300,244,73,yes,73
404,74,130,no,130
40,308,51,yes,51
170,358,69,yes,69
682,440,100,no,100
206,130,59,yes,59
646,626,80,yes,80
502,618,48,yes,48
98,200,64,yes,64
286,258,90,no,90
698,8,50,yes,50
104,590,49,yes,49
610,38,42,yes,42
642,476,140,no,140
162,488,54,yes,54
530,392,49,yes,49
684,102,47,yes,47
330,360,46,yes,46
192,348,80,no,80
260,442,56,yes,56
744,566,48,yes,48
426,514,127,no,127
414,482,133,no,133
518,28,44,yes,44
266,610,97,no,97
182,488,73,no,73
558,526,46,yes,46
174,332,93,no,93
178,244,39,yes,39
222,10,53,yes,53
542,144,114,no,114
230,130,80,no,80
742,224,86,no,86
108,44,64,yes,64
556,390,64,no,64
622,624,74,yes,74
6,540,47,yes,47
666,424,78,no,78
818,498,44,yes,44
596,290,69,no,69
440,290,58,no,58
38,114,30,yes,30
186,142,51,no,51
268,326,20,yes,20
