x,y,r (pixel),is_circle,r (um)
328,450,32,yes,32
658,166,32,yes,32
792,254,33,yes,33
820,204,22,yes,22
258,332,34,yes,34
142,162,27,yes,27
200,334,26,yes,26
454,504,27,yes,27
590,266,35,no,35
378,348,35,yes,35
444,422,30,yes,30
190,132,29,yes,29
442,556,28,yes,28
314,304,24,yes,24
62,254,35,yes,35
614,218,17,yes,17
350,190,32,yes,32
122,364,29,yes,29
742,346,20,yes,20
712,34,20,yes,20
580,200,17,yes,17
552,604,26,yes,26
510,104,17,yes,17
650,372,22,yes,22
244,226,32,no,32
364,402,25,yes,25
280,470,29,yes,29
132,24,26,yes,26
264,420,24,yes,24
306,344,24,yes,24
496,34,33,no,33
454,140,25,yes,25
248,174,24,yes,24
358,490,22,yes,22
486,556,20,yes,20
296,600,19,yes,19
156,540,18,yes,18
278,280,24,yes,24
246,104,33,no,33
46,306,26,yes,26
364,82,17,yes,17
496,602,26,yes,26
308,98,26,yes,26
66,178,25,yes,25
628,314,24,yes,24
620,558,20,yes,20
272,556,19,yes,19
188,294,17,yes,17
598,428,24,yes,24
742,110,23,yes,23
332,142,17,yes,17
658,98,19,yes,19
42,648,18,yes,18
324,218,16,yes,16
294,204,27,yes,27
26,100,21,yes,21
466,74,20,yes,20
496,518,15,yes,15
238,518,30,yes,30
310,392,29,yes,29
134,452,28,yes,28
594,166,19,yes,19
598,110,15,yes,15
460,332,29,yes,29
96,406,27,yes,27
248,380,22,no,22
120,502,21,yes,21
658,266,20,yes,20
112,94,29,yes,29
74,518,27,yes,27
358,272,19,yes,19
214,66,26,no,26
566,132,25,yes,25
182,448,24,yes,24
140,254,16,yes,16
84,462,29,yes,29
158,318,24,yes,24
46,412,20,yes,20
382,150,19,yes,19
512,264,17,yes,17
226,268,29,yes,29
70,128,27,yes,27
322,508,22,yes,22
578,536,16,yes,16
730,288,13,yes,13
492,488,17,yes,17
112,290,27,yes,27
614,352,22,yes,22
800,480,22,yes,22
378,24,17,yes,17
352,38,14,yes,14
598,386,22,yes,22
458,220,21,yes,21
432,378,17,yes,17
630,72,14,yes,14
750,436,15,yes,15
268,68,17,yes,17
108,244,17,yes,17
696,352,16,yes,16
642,628,22,yes,22
672,432,21,yes,21
342,114,15,yes,15
442,184,22,yes,22
658,570,22,yes,22
210,180,22,yes,22
156,494,14,yes,14
180,252,24,yes,24
126,212,23,yes,23
278,242,18,yes,18
420,130,16,yes,16
522,342,16,yes,16
336,66,14,yes,14
