x,y,r (pixel),is_circle,r (um)
456,412,73,yes,73
672,198,76,yes,76
164,210,84,yes,84
822,190,74,yes,74
74,90,70,yes,70
188,84,46,yes,46
628,62,63,yes,63
482,88,71,yes,71
358,162,65,no,65
356,284,90,no,90
90,386,67,no,67
462,82,92,no,92
376,298,69,yes,69
196,200,91,no,91
256,322,49,yes,49
174,190,64,no,64
690,184,76,no,76
812,78,40,yes,40
24,450,38,yes,38
456,216,61,no,61
196,418,56,no,56
694,206,85,no,85
180,226,60,no,60
84,366,75,no,75
476,412,73,no,73
310,40,72,yes,72
350,304,72,no,72
112,386,73,no,73
484,214,56,no,56
576,246,40,no,40
280,232,40,yes,40
100,80,72,no,72
28,260,68,yes,68
738,34,46,yes,46
558,256,60,no,60
234,324,58,no,58
310,368,28,yes,28
168,314,33,yes,33
366,322,43,no,43
52,84,83,no,83
392,280,64,no,64
378,170,50,no,50
248,342,36,no,36
268,148,46,no,46
46,280,41,no,41
752,112,30,no,30
678,166,44,no,44
206,436,28,no,28
562,172,33,no,33
478,388,46,no,46
488,298,32,no,32
506,72,48,no,48
586,146,23,no,23
596,270,23,no,23
