x,y,r (pixel),is_circle,r (um)
514,376,155,yes,120.9
78,522,158,yes,123.24000000000001
692,132,145,yes,113.10000000000001
246,280,126,yes,98.28
498,356,170,no,132.6
536,374,170,no,132.6
522,336,195,no,152.1
230,294,148,no,115.44
306,468,92,yes,71.76
670,110,158,no,123.24000000000001
660,684,180,yes,140.4
142,102,79,yes,61.620000000000005
502,398,178,no,138.84
708,146,165,no,128.70000000000002
520,356,149,no,116.22
504,148,64,yes,49.92
674,140,143,no,111.54
484,382,171,no,133.38
254,250,155,no,120.9
60,512,173,no,134.94
276,254,165,no,128.70000000000002
470,348,159,no,124.02000000000001
70,542,177,no,138.06
214,280,149,no,116.22
236,262,108,no,84.24000000000001
272,288,147,no,114.66000000000001
486,334,193,no,150.54
18,268,106,yes,82.68
556,380,191,no,148.98000000000002
664,86,183,no,142.74
692,110,161,no,125.58
542,354,170,no,132.6
650,110,188,no,146.64000000000001
716,126,124,no,96.72
468,368,166,no,129.48000000000002
326,476,101,no,78.78
198,292,168,no,131.04
92,508,149,no,116.22
218,248,129,no,100.62
730,140,182,no,141.96
128,122,102,no,79.56
684,158,128,no,99.84
288,456,109,no,85.02
166,112,98,no,76.44
254,226,151,no,117.78
306,446,69,no,53.82
122,98,96,no,74.88
538,322,184,no,143.52
74,490,113,no,88.14
524,398,131,no,102.18
714,100,98,no,76.44
460,314,141,no,109.98
138,80,60,no,46.800000000000004
692,88,145,no,113.10000000000001
504,320,117,no,91.26
734,108,107,no,83.46000000000001
488,136,83,no,64.74000000000001
18,248,77,no,60.06
236,236,108,no,84.24000000000001
820,366,139,yes,108.42
106,114,72,no,56.160000000000004
282,228,76,no,59.28
296,270,79,no,61.620000000000005
270,448,48,no,37.44
