x,y,r (pixel),is_circle,r (um)
682,166,80,yes,80
378,224,100,yes,100
564,490,61,yes,61
738,616,60,yes,60
488,84,84,yes,84
204,200,74,yes,74
338,482,64,yes,64
702,480,61,yes,61
546,232,66,yes,66
802,84,70,yes,70
584,446,158,no,158
772,380,48,yes,48
34,158,73,yes,73
256,334,52,yes,52
582,360,51,yes,51
840,492,77,yes,77
360,358,44,yes,44
358,192,123,no,123
236,50,67,yes,67
648,276,39,yes,39
402,246,132,no,132
676,374,36,yes,36
232,220,148,no,148
358,218,106,no,106
332,452,82,no,82
460,346,60,yes,60
178,192,100,no,100
804,262,84,no,84
452,448,42,yes,42
138,90,37,yes,37
466,532,37,yes,37
704,172,102,no,102
230,348,88,no,88
360,72,50,yes,50
548,508,85,no,85
634,568,36,yes,36
698,152,87,no,87
224,162,117,no,117
568,244,103,no,103
562,356,70,no,70
684,512,94,no,94
206,180,105,no,105
568,458,92,no,92
380,204,68,no,68
364,240,107,no,107
74,330,38,yes,38
460,426,78,no,78
682,476,86,no,86
722,634,94,no,94
524,490,100,no,100
602,348,84,no,84
242,438,43,yes,43
100,254,32,yes,32
704,454,87,no,87
266,316,73,no,73
400,212,103,no,103
550,474,83,no,83
584,498,83,no,83
672,146,95,no,95
718,500,85,no,85
802,236,49,no,49
510,76,106,no,106
588,476,90,no,90
356,472,83,no,83
656,6,73,no,73
670,494,92,no,92
476,334,62,no,62
564,576,27,yes,27
584,338,72,no,72
528,218,87,no,87
648,542,64,no,64
158,298,53,no,53
716,312,43,no,43
564,380,78,no,78
238,322,71,no,71
494,64,56,no,56
756,602,62,no,62
652,632,27,yes,27
226,200,94,no,94
660,166,94,no,94
252,34,75,no,75
728,470,88,no,88
380,348,75,no,75
474,68,100,no,100
694,382,56,no,56
156,380,30,yes,30
36,136,52,no,52
90,310,52,no,52
168,90,62,no,62
30,268,27,yes,27
624,424,28,yes,28
72,114,67,no,67
380,52,51,no,51
734,594,43,no,43
754,370,64,no,64
710,434,66,no,66
478,314,48,no,48
720,292,52,no,52
718,134,80,no,80
138,224,57,no,57
694,356,42,no,42
510,404,37,no,37
296,400,33,no,33
796,372,60,no,60
748,580,51,no,51
296,124,44,no,44
204,562,10,yes,10
258,62,61,no,61
360,448,46,no,46
636,408,28,no,28
722,160,60,no,60
410,412,29,no,29
820,66,70,no,70
486,520,36,no,36
152,72,34,no,34
348,500,43,no,43
784,256,55,no,55
68,134,54,no,54
742,640,38,no,38
164,222,31,no,31
