x,y,r (pixel),is_circle,r (um)
238,360,102,yes,102
86,548,136,yes,136
762,488,126,yes,126
222,128,140,yes,140
758,282,83,yes,83
522,378,141,yes,141
772,466,99,no,99
562,604,89,no,89
244,112,112,no,112
350,488,79,yes,79
538,362,115,no,115
590,86,148,yes,148
496,384,161,no,161
788,518,164,no,164
564,632,128,no,128
92,524,112,no,112
420,204,77,yes,77
568,396,158,no,158
214,350,116,no,116
560,68,181,no,181
276,344,143,no,143
10,272,125,yes,125
638,238,52,yes,52
614,100,133,no,133
258,130,128,no,128
252,344,83,no,83
224,106,149,no,149
740,266,106,no,106
574,368,149,no,149
554,380,137,no,137
786,480,118,no,118
254,174,172,no,172
768,514,148,no,148
238,146,155,no,155
568,90,163,no,163
254,388,128,no,128
438,190,99,no,99
270,110,185,no,185
198,132,172,no,172
260,364,122,no,122
600,130,129,no,129
218,152,160,no,160
192,98,173,no,173
534,400,152,no,152
746,472,118,no,118
584,118,145,no,145
548,618,109,yes,109
296,386,143,no,143
616,80,120,no,120
424,226,94,no,94
64,562,158,no,158
774,268,105,no,105
376,488,82,no,82
782,290,93,no,93
526,610,136,no,136
746,506,150,no,150
402,26,68,yes,68
368,510,54,no,54
216,500,37,no,37
256,96,93,no,93
598,378,106,no,106
302,118,68,no,68
754,170,50,no,50
392,332,34,yes,34
650,128,64,no,64
398,208,56,no,56
774,536,59,no,59
638,214,29,no,29
328,182,19,yes,19
