x,y,r (pixel),is_circle,r (um)
350,192,120,yes,120
558,572,97,yes,97
684,406,113,yes,113
224,428,137,yes,137
462,378,109,yes,109
582,214,93,yes,93
518,20,124,yes,124
110,176,114,no,114
94,188,132,yes,132
236,408,114,no,114
266,456,187,no,187
288,446,201,no,201
234,610,71,yes,71
324,190,137,no,137
386,186,121,no,121
72,192,154,no,154
764,106,136,yes,136
360,174,97,no,97
476,362,89,no,89
392,538,80,yes,80
302,414,230,no,230
312,458,225,no,225
306,434,216,no,216
248,442,165,no,165
350,156,153,no,153
694,386,90,no,90
374,204,148,no,148
660,412,136,no,136
578,568,116,no,116
296,472,222,no,222
56,592,108,yes,108
116,214,100,no,100
230,470,182,no,182
710,404,114,no,114
196,424,157,no,157
134,188,130,no,130
602,212,92,no,92
482,382,129,no,129
270,434,182,no,182
326,166,145,no,145
436,380,133,no,133
588,196,71,no,71
698,420,133,no,133
326,214,148,no,148
396,212,138,no,138
808,530,68,yes,68
258,416,128,no,128
214,410,137,no,137
536,28,104,no,104
400,168,138,no,138
452,352,133,no,133
220,448,157,no,157
360,228,172,no,172
296,198,165,no,165
500,372,111,no,111
342,130,179,no,179
348,212,140,no,140
562,198,116,no,116
254,396,143,no,143
228,494,190,no,190
366,514,111,no,111
514,390,162,no,162
380,162,133,no,133
274,406,131,no,131
538,560,119,no,119
312,146,155,no,155
272,598,86,no,86
554,216,114,no,114
198,466,184,no,184
510,352,125,no,125
224,388,164,no,164
792,102,133,no,133
422,556,114,no,114
416,532,80,no,80
592,234,65,no,65
600,558,140,no,140
846,290,86,yes,86
194,404,157,no,157
670,382,142,no,142
476,402,85,no,85
616,192,112,no,112
72,576,86,no,86
92,164,154,no,154
2,378,87,no,87
130,162,138,no,138
758,132,108,no,108
572,590,67,no,67
490,14,152,no,152
426,342,150,no,150
372,538,92,no,92
536,536,131,no,131
720,384,129,no,129
536,580,115,no,115
294,388,148,no,148
258,374,131,no,131
394,562,103,no,103
84,606,78,no,78
648,430,117,no,117
558,552,105,no,105
618,230,115,no,115
236,590,92,no,92
714,116,114,no,114
734,406,129,no,129
582,546,102,no,102
254,606,67,no,67
212,602,82,no,82
370,558,78,no,78
158,182,142,no,142
474,342,106,no,106
430,400,116,no,116
236,372,80,no,80
696,442,84,no,84
776,90,124,no,124
436,524,94,no,94
740,84,83,no,83
96,210,107,no,107
714,358,122,no,122
152,202,127,no,127
556,20,117,no,117
116,234,81,no,81
784,120,104,no,104
548,48,86,no,86
268,578,82,no,82
416,502,91,no,91
224,628,72,no,72
828,518,74,no,74
398,518,69,no,69
136,218,87,no,87
470,422,68,no,68
676,446,103,no,103
542,600,96,no,96
264,486,60,no,60
640,394,97,no,97
348,244,88,no,88
476,148,61,no,61
508,416,53,no,53
482,256,49,no,49
476,294,72,no,72
496,432,56,no,56
574,56,54,no,54
238,164,55,no,55
574,458,41,no,41
426,362,70,no,70
704,462,53,no,53
750,164,59,no,59
106,606,56,no,56
594,592,56,no,56
334,576,49,no,49
688,364,67,no,67
452,308,66,no,66
96,582,66,no,66
632,370,50,no,50
460,280,44,no,44
592,466,49,no,49
252,628,44,no,44
368,416,40,no,40
248,136,31,no,31
604,254,46,no,46
314,350,22,no,22
